Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Years of Availability,Citations per thousand dollars of funding per year,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Description,Category,Clinical/Technical,Centroids,%R01,%U01,%R44,%U24,%R21,%U54
0,39,47530437,119.0,0.0,0.36,0.07699043053021598,0.6430095694697839,5,2.5036588660020103,19,0.0001317715192632637,1199874.2164627553,5090840,0.11315514432320974,0.06145986337484293,0.16485042527157653,0.268415534175729, , , ,"['circuit', 'neural circuit', 'animal', 'neuron', 'emotional', 'defined', 'generation', 'sensory', 'reconstruction', 'simultaneously', 'transition', 'unknown', 'mechanistic', 'characterized', 'site']",0.4358974358974359,0.07692307692307693,0.0,0.0,0.0,0.0
1,77,30962173,132.0,0.1111111111111111,0.39999999999999997,0.17250717178357688,0.627492828216423,9,4.2632666641323915,14,0.00030451904743802796,5363.501153290942,12643884,0.5510651930417694,0.4916645926682742,0.6104657934152645,0.25182579042939257, , , ,"['sleep', 'disparity', 'cvd', 'surgical', 'eeg', 'memory', 'cardiovascular', 'sensory', 'marker', 'obesity', 'surgery', 'dementia', 'mouse', 'cardiovascular disease', 'health outcome']",0.4155844155844156,0.03896103896103896,0.06493506493506493,0.0,0.14285714285714285,0.0
2,1554,662377494,10123.0,0.11016949152542373,0.36822033898305073,0.33402402937153564,0.40241664859456583,354,15.28282601944806,1303,1.1728953199883391e-05,613106.083203228,258023057,0.41672295446129554,0.376974374145989,0.4564715347766021,-0.029173660444649772, , , ,"['mri', 'classification', 'deep', 'surgical', 'deep learning', 'resolution', 'lesion', 'simulation', 'psychosis', 'clinical trial', 'flow', 'progression', 'surgery', 'selection', 'trauma']",0.5038610038610039,0.043114543114543116,0.03796653796653797,0.003861003861003861,0.10553410553410554,0.001287001287001287
3,160,89294946,189.0,0.0625,0.3,0.1789331628030273,0.4210668371969727,32,2.1165811556680936,34,6.225238693141452e-05,341190.8440958786,36029818,0.3014784976559704,0.2581362040152523,0.3448207912966885,0.07796839336214505, , , ,"['heart', 'cardiac', 'coronary', 'heart failure', 'failure', 'cardiovascular', 'motion', 'ct', 'mortality', 'physician', 'monitoring', 'score', 'dose', 'flow', 'morbidity']",0.5375,0.00625,0.025,0.0,0.15625,0.0
4,134,47906863,286.0,0.07142857142857142,0.2732142857142857,0.17751381510273076,0.3689147563258406,28,5.969917086827413,129,4.627842702966988e-05,586385.8194322429,11034278,0.19694237914952717,0.1720333415954499,0.22185141670360445,0.24204855383201188, , , ,"['breast', 'breast cancer', 'woman', 'tumor', 'screening', 'biopsy', 'decision support', 'biomarker', 'suite', 'risk prediction', 'reconstruction', 'invasive', 'predictor', 'diagnosed', 'progression']",0.5223880597014925,0.12686567164179105,0.0,0.05970149253731343,0.04477611940298507,0.0
5,145,75726582,172.0,0.0625,0.3625,0.1979087252461317,0.5270912747538683,16,2.2713292407677925,43,5.282161025041378e-05,345268.39232980803,16786612,0.28564112583637,0.25057367679929,0.32070857487345006,0.15353121597574704, , , ,"['asd', 'autism', 'child', 'spectrum disorder', 'connectivity', 'spectrum', 'infant', 'adhd', 'language', 'developmental', 'functional connectivity', 'neurodevelopmental', 'emotion', 'deficit', 'heterogeneity']",0.42758620689655175,0.020689655172413793,0.07586206896551724,0.0,0.09655172413793103,0.0
6,251,197060019,1345.0,0.08823529411764706,0.40735294117647064,0.3044856266353517,0.5102202557175896,34,6.825331727995012,153,4.461001129408505e-05,340092.6556802515,97932099,0.3762138197394265,0.33325757211364965,0.4191700673652034,0.20409461760762332, , , ,"['ad', 'alzheimer', 'alzheimer disease', 'disease ad', 'dementia', 'neuroimaging', 'aging', 'decline', 'preclinical', 'progression', 'pathology', 'mri', 'cognitive impairment', 'clinical trial', 'pet']",0.5338645418326693,0.043824701195219126,0.03187250996015936,0.00796812749003984,0.07171314741035857,0.00398406374501992
7,99,34468011,3869.0,0.08333333333333333,0.3812499999999999,0.2684282517703365,0.4940717482296633,24,112.24900676746331,224,0.0005011116373547469,142967.72437962785,9092326,0.29223751584644425,0.23400257563443547,0.35047245605845306,0.16058561955668987, , , ,"['mutation', 'driver', 'variant', 'evolution', 'sequencing', 'regulatory', 'human disease', 'regulation', 'consequence', 'locus', 'dna', 'annotation', 'aid', 'pediatric', 'mechanistic']",0.494949494949495,0.13131313131313133,0.020202020202020204,0.0,0.04040404040404041,0.0
8,318,149773779,2426.0,0.15384615384615385,0.4658653846153846,0.4028976381843206,0.5288331310464487,104,16.197761825853377,279,5.8056493999474466e-05,740383.2834296925,42812852,0.279258952204803,0.25213937978010836,0.30637852462949766,0.019244572708679568, , , ,"['ehr', 'electronic', 'health record', 'electronic health', 'healthcare', 'nlp', 'text', 'informatics', 'decision support', 'natural language', 'clinical decision', 'language', 'medical record', 'surveillance', 'natural']",0.5062893081761006,0.0660377358490566,0.018867924528301886,0.0,0.059748427672955975,0.03459119496855346
9,331,155146626,1859.0,0.1323529411764706,0.4477941176470588,0.37011095953081535,0.5254772757633022,68,11.98221352232307,247,4.851098592033631e-05,871060.3364294599,35943561,0.27019997364048065,0.2512742776603865,0.2891256696205748,0.0013432974401378797, , , ,"['user', 'device', 'sensor', 'interface', 'monitoring', 'cloud', 'wearable', 'sound', 'smoking', 'capability', 'mobile', 'end', 'web', 'auditory', 'computing']",0.47129909365558914,0.027190332326283987,0.12084592145015106,0.03625377643504532,0.0513595166163142,0.021148036253776436
