Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Centroids
0,266,113960792,34252.0,0.12508784258608574,0.4182009838369641,0.40114849417923837,0.4352534734946898,1423,300.5595117310171,51897627.90359297,30330823,0.399995936302772,0.3449265939131422,0.4550652786924019,0.014092446355020133,"['patients', 'kidney', 'injury', 'patient', 'care', 'acute', 'outcomes', 'monitoring', 'treatment', 'time', 'hospital', 'disease', 'study', 'surgical', 'risk']"
1,60,25106971,11584.0,0.025906735751295335,0.24611398963730569,0.20621071199519117,0.2860172672794202,193,461.3858039665557,6441760.2388800755,3959642,0.23965746435251165,0.15981963141325306,0.31949529729177023,0.08941138363627149,"['sequencing', 'dna', 'genome', 'technologies', 'analysis', 'sequence', 'generation', 'cell', 'tools', 'bioinformatics', 'genomic', 'algorithms', 'control', 'diseases', 'single']"
2,174,60139963,13924.0,0.13247172859450726,0.48327948303715673,0.45798391052710263,0.5085750555472108,619,231.52658075296787,13484742.717468284,7796591,0.2030655903955978,0.16904959865844454,0.23708158213275105,0.15926037830412837,"['alcohol', 'exposure', 'brain', 'facial', 'effects', 'consortium', 'disorders', 'children', 'treatment', 'risk', 'spectrum', 'projects', 'individuals', 'core', 'youth']"
3,209,105673144,83459.0,0.02974628171478565,0.23560804899387577,0.2202175951057338,0.25099850288201775,1143,789.7843940367668,24693631.469462164,15862066,0.2068290449652972,0.16339114036520852,0.25026694956538587,0.03824210796807852,"['regulatory', 'genome', 'human', 'mutations', 'elements', 'genes', 'functional', 'dna', 'sequence', 'gene', 'cell', 'regions', 'genomic', 'coding', 'variants']"
4,208,101553514,120868.0,0.11812127584998247,0.433701366982124,0.42210197951350015,0.4453007544507479,2853,1190.190228178613,10760173.72814106,8776288,0.080402284265086,0.024587626175580822,0.13621694235459117,0.029112816377090463,"['genetic', 'environmental', 'risk', 'gene', 'susceptibility', 'genome wide', 'genome', 'factors', 'disease', 'association', 'gwas', 'genes', 'genetics', 'wide', 'studies']"
5,202,78800103,29626.0,0.037460978147762745,0.2526014568158168,0.23545298642710685,0.26974992720452673,961,375.9639755800827,6387866.999896744,4766490,0.05154825877643271,0.01976351923206622,0.0833329983207992,0.05754405578272639,"['biomedical', 'text', 'knowledge', 'information', 'literature', 'language', 'mining', 'language processing', 'processing', 'extraction', 'natural language', 'methods', 'natural', 'scientists', 'systems']"
6,297,242962612,99206.0,0.14158964879852126,0.43364140480591495,0.4211225914313533,0.44616021818047663,2705,408.31796786906455,142431289.73718122,61144886,0.43585449016952466,0.3729553178846258,0.4987536624544235,0.16760749591351407,"['ad', 'alzheimer', 'alzheimer disease', 'disease', 'cognitive', 'dementia', 'brain', 'risk', 'imaging', 'aging', 'biomarkers', 'early', 'pathology', 'aim', 'changes']"
7,155,63713877,25048.0,0.112,0.42727999999999994,0.40974816308848494,0.44481183691151494,1250,393.13256670913313,26736617.752091434,11683016,0.33341730582052537,0.29843721994587896,0.36839739169517177,0.07731511099679288,"['ehr', 'electronic', 'electronic health', 'patient', 'care', 'patients', 'records', 'risk', 'record', 'information', 'informatics', 'healthcare', 'genomic', 'cancer', 'nlp']"
8,283,168778201,142631.0,0.1871345029239766,0.49068825910931174,0.47671251737872117,0.5046640008399024,2223,845.0795135563745,31446054.555487506,17013562,0.1563263391884317,0.12243101504095802,0.19022166333590537,0.0399175881828421,"['variants', 'genetic', 'variation', 'genome', 'disease', 'genes', 'gene', 'aim', 'gwas', 'sequencing', 'human', 'complex', 'studies', 'genomic', 'methods']"
9,234,103846592,21176.0,0.0673076923076923,0.3570673076923076,0.3387702518625213,0.3753643635220939,1040,203.91617666182054,35361694.73726857,15747020,0.29693590976641904,0.24117257182577656,0.3526992477070615,0.23051136569470942,"['hiv', 'infection', 'risk', 'associated', 'study', 'patients', 'therapy', 'prevention', 'cells', 'brain', 'treatment', 'individuals', 'cohort', 'care', 'living']"
10,158,161011033,19521.0,0.2286902286902287,0.5008316008316008,0.47007772908622286,0.5315854725769787,481,121.24013886675704,77964182.7660092,7442877,0.3675140678605445,0.04564677439916737,0.6893813613219217,0.2801892218087196,"['pain', 'chronic', 'patients', 'treatment', 'brain', 'opioid', 'care', 'management', 'treatments', 'effects', 'low', 'self', 'mechanisms', 'patient', 'assessment']"
11,303,95854155,95431.0,0.006658595641646489,0.13235472154963682,0.12340275257886034,0.1413066905204133,1652,995.5854287172007,14560101.482066575,8576425,0.14030376907977082,0.09623105638313037,0.18437648177641128,0.10029178033423615,"['protein', 'structure', 'proteins', 'sequence', 'structures', 'function', 'interactions', 'methods', 'structural', 'computational', 'prediction', 'molecular', 'sequences', 'binding', 'biological']"
12,301,97605439,39836.0,0.11907270811380401,0.42992623814541625,0.409631969627387,0.4502205066634455,949,408.13299349025004,25294252.09453286,14347443,0.22916756476889455,0.195184731432793,0.2631503981049961,0.008361139162523613,"['cognitive', 'memory', 'neural', 'brain', 'task', 'attention', 'fmri', 'mechanisms', 'deficits', 'behavioral', 'disorders', 'behavior', 'understanding', 'control', 'information']"
13,160,85352560,24579.0,0.19193857965451055,0.492514395393474,0.4633160653248395,0.5217127254621086,521,287.9702729478765,29403053.190651655,18832556,0.2847593208151615,0.2448736428375493,0.32464499879277364,0.16596562735686285,"['asd', 'autism', 'children', 'brain', 'disorder', 'behavioral', 'spectrum', 'connectivity', 'early', 'disorders', 'infants', 'social', 'functional', 'developmental', 'risk']"
14,75,46359457,8607.0,0.09121621621621621,0.30168918918918913,0.26532452224131453,0.33805385613706374,296,185.6579122572553,16294531.680376409,7167594,0.30075110578997294,0.2611600421232808,0.34034216945666507,0.08597287674274647,"['resistance', 'drug', 'treatment', 'hiv', 'control', 'therapy', 'aim', 'patients', 'response', 'infection', 'targeted', 'susceptibility', 'mutations', 'genomic', 'efforts']"
15,155,64986109,15642.0,0.0805484147386461,0.3791345329905741,0.36134339122043957,0.3969256747607086,1167,240.69759277324943,22548862.365445323,17127471,0.2853101276547014,0.2491672790340593,0.3214529762753434,0.07243544895751343,"['social', 'behavior', 'behavioral', 'population', 'network', 'behaviors', 'study', 'aim', 'communication', 'processing', 'analysis', 'online', 'life', 'public', 'interactions']"
16,178,71811772,18026.0,0.15604026845637584,0.4591442953020134,0.43271587990872085,0.48557271069530594,596,251.01734016534226,29270099.02073539,17357676,0.3735029094958924,0.33402770594130893,0.4129781130504758,0.05267914594051517,"['children', 'pediatric', 'child', 'early', 'outcomes', 'risk', 'developmental', 'development', 'childhood', 'study', 'age', 'intervention', 'autism', 'school', 'care']"
17,399,215092150,172432.0,0.2049293824425367,0.5120742176682359,0.5011111302591372,0.5230373050773346,3611,801.6657046758796,75000974.43584113,40943922,0.315280950670386,0.27853193423823036,0.3520299671025416,0.025622443931346998,"['brain', 'imaging', 'neuroimaging', 'connectivity', 'functional', 'fmri', 'methods', 'disorders', 'analysis', 'human', 'mri', 'development', 'eeg', 'network', 'cognitive']"
18,408,176960068,103331.0,0.03290129611166501,0.23978065802592224,0.22805941734983712,0.2515018987020074,2006,583.9226960514053,31480112.110725507,15850068,0.1607315414985104,0.14403452299642763,0.17742856000059318,0.027310077492398274,"['gene', 'expression', 'genes', 'gene expression', 'regulatory', 'regulation', 'dna', 'genome', 'human', 'cell', 'disease', 'methods', 'transcription', 'methylation', 'molecular']"
19,258,52634549,30930.0,0.14452798663324978,0.4705931495405179,0.4519290936731891,0.4892572054078467,1197,587.6368390655347,12409230.787664747,7431056,0.22632691585609804,0.16872914141189346,0.28392469030030265,0.04402389595603198,"['dr', 'training', 'career', 'patients', 'award', 'independent', 'investigator', 'disease', 'development', 'career development', 'risk', 'program', 'candidate', 'university', 'school']"
20,301,112832488,26994.0,0.15671641791044777,0.44319029850746267,0.4229606908744844,0.46341990614044093,1072,239.23960623823166,34267069.84888445,28919290,0.2804271555279587,0.24082133760984903,0.3200329734460684,0.026631156529640945,"['tumor', 'imaging', 'radiation', 'pet', 'treatment', 'ct', 'tumors', 'cancer', 'image', 'dose', 'planning', 'therapy', 'tissue', 'patient', 'patients']"
21,67,68222016,15773.0,0.15869017632241814,0.5238035264483627,0.49326669472841955,0.5543403581683058,397,231.20102460765744,16819763.307389963,1831488,0.22669953941375504,0.12201072305385428,0.3313883557736558,0.32266015452801133,"['asthma', 'children', 'childhood', 'genetic', 'gene expression', 'disease', 'expression', 'pediatric', 'chronic', 'gene', 'exposure', 'lung', 'candidate', 'variants', 'severe']"
