Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Centroids
0,192,89736274,19206.0,0.053763440860215055,0.2604166666666667,0.2396209785264577,0.2812123548068757,744,214.02716141300897,22416708.063234054,10302335,0.22575258159776698,0.19387881754908579,0.25762634564644815,0.06331042672169103,"['drug', 'compounds', 'drug discovery', 'discovery', 'drugs', 'models', 'protein', 'computational', 'screening', 'novel']"
1,154,68139068,15707.0,0.021341463414634148,0.23521341463414636,0.20808660853696304,0.2623402207313297,328,230.51386614210807,23656455.832132503,8453320,0.3213504997442386,0.259783511432752,0.38291748805572523,0.028550432477961327,"['cell', 'cells', 'single', 'throughput', 'aging', 'tissue', 'phase', 'high throughput', 'platform', 'high']"
2,301,150466542,197547.0,0.0868440502586844,0.37921286031042134,0.3676212310767934,0.3908044895440493,2706,1312.8965241987153,44404658.64065756,13258128,0.27732620098621313,0.22954980607931802,0.32510259589310825,0.02640854208347328,"['cancer', 'tumor', 'cell', 'treatment', 'lung cancer', 'patients', 'lung', 'tumors', 'risk', 'screening']"
3,297,134125367,80522.0,0.045112781954887216,0.23678426836321567,0.22382612245757047,0.24974241426886087,1729,600.3487766784639,31047757.560035154,14249779,0.23196964785839272,0.15590474969425355,0.3080345460225319,0.005203081284458403,"['protein', 'proteins', 'software', 'structure', 'analysis', 'methods', 'new', 'computational', 'available', 'biomedical']"
4,104,32067033,8389.0,0.12337662337662338,0.49788961038961044,0.4625556109726267,0.5332236098065941,308,261.60823796825855,3911497.911847084,2426226,0.102124976969545,0.04175161853947688,0.16249833539961314,0.1946532584257144,"['alcohol', 'fasd', 'prenatal', 'exposure', 'fetal', 'brain', 'consortium', 'spectrum', 'children', 'projects']"
5,624,255424443,87829.0,0.14557305812058663,0.4565860945138512,0.44599988688869463,0.46717230213900773,3682,343.8551102174666,130276482.66643207,59503530,0.49651292614787323,0.40371081880841003,0.5893150334873365,0.006947428441068037,"['care', 'patients', 'patient', 'medical', 'risk', 'dr', 'ehr', 'electronic', 'support', 'outcomes']"
6,449,170178046,123727.0,0.2175,0.5135000000000001,0.5017920731879923,0.5252079268120078,3200,727.0444273405278,81128380.83271351,26879059,0.4473991401873391,0.38383277173807717,0.5109655086366011,0.004909170364944999,"['imaging', 'image', 'mri', 'images', 'tumor', 'tissue', 'motion', 'patients', 'analysis', 'ct']"
7,220,68328591,24282.0,0.14512195121951219,0.4604878048780488,0.4384287484169946,0.482546861339103,820,355.3710042111069,7004725.77339056,4428472,0.08144550995200552,0.059470588699444174,0.10342043120456686,0.14060766782136352,"['breast', 'breast cancer', 'cancer', 'women', 'risk', 'mammography', 'imaging', 'cancer risk', 'screening', 'tumor']"
8,128,59553792,9108.0,0.1348314606741573,0.44803370786516855,0.4139455724550373,0.4821218432752998,356,152.93736459300527,42773765.431417726,19942882,0.6088047751712021,0.535904019574227,0.6817055307681773,0.03152388426794228,"['mental', 'psychosis', 'social', 'mental health', 'disorders', 'symptoms', 'illness', 'trauma', 'youth', 'risk']"
9,53,22005946,2592.0,0.13114754098360656,0.48442622950819675,0.4298873273378559,0.5389651316785375,122,117.78634738083971,1175150.1866148983,256469,0.010592366581662927,-0.026131994611632292,0.04731672777495814,0.4018235473543363,"['asthma', 'children', 'pediatric', 'disparities', 'care', 'exposure', 'expression', 'gene expression', 'chronic', 'projects']"
10,58,33442865,3458.0,0.13131313131313133,0.4896464646464647,0.4448718826440551,0.5344210466488744,198,103.40023200763451,13136578.190184195,4725211,0.3102030598394665,0.23516485270018067,0.38524126697875233,0.2663684535884741,"['stroke', 'patients', 'treatment', 'risk', 'imaging', 'prediction', 'effectiveness', 'acute', 'cause', 'cohort']"
11,49,17879315,20292.0,0.2198581560283688,0.5226950354609929,0.4917137473812005,0.5536763235407853,423,1134.942809609876,6839127.307708455,2033681,0.5132497184617999,0.26325681756482044,0.7632426193587794,0.31166547513718135,"['glaucoma', 'visual', 'progression', 'structural', 'optical', 'field', 'detection', 'change', 'techniques', 'damage']"
12,229,120362594,73795.0,0.22244488977955912,0.5502672010688042,0.5338896876573812,0.5666447144802272,1497,613.1057627422022,12956493.536008101,8598159,0.08238805684378643,0.04652742450451163,0.11824868918306122,0.050653895891909585,"['genetic', 'variants', 'genes', 'genome', 'gwas', 'risk', 'gene', 'disease', 'genomic', 'aim']"
13,242,127278171,115315.0,0.042583392476934,0.2997161107168204,0.28462463723426007,0.31480758419938076,1409,906.0076766816519,18693152.087094136,8439335,0.12529666472114248,0.08916941341103318,0.16142391603125178,0.026079585270770728,"['gene', 'genes', 'expression', 'genome', 'human', 'cell', 'gene expression', 'disease', 'mutations', 'genetic']"
14,646,248897586,79476.0,0.11957635804578066,0.42418858899897505,0.4124667414278415,0.4359104365701086,2927,319.31205632504606,89339600.84751749,43093015,0.34512000324024666,0.2987598477816048,0.3914801586988885,-0.014932082908109703,"['risk', 'patients', 'disease', 'blood', 'treatment', 'early', 'women', 'hcc', 'aim', 'associated']"
15,124,41510257,7994.0,0.15476190476190477,0.4952380952380953,0.45582367285802755,0.5346525176181631,252,192.57890887064372,3092313.757821261,1072926,0.043564328053697955,0.024861768122502494,0.06226688798489342,0.1614962404533638,"['crc', 'screening', 'colorectal', 'cancer', 'colorectal cancer', 'intervention', 'mammography', 'women', 'cancer screening', 'risk']"
16,48,20403099,2763.0,0.13157894736842105,0.4929824561403509,0.4351794435017715,0.5507854687789303,114,135.42060448758298,11358721.963656912,3922499,0.46149413344743145,0.3366334925294931,0.5863547743653699,0.35321606251509036,"['suicide', 'risk', 'behavior', 'prevention', 'factors', 'psychiatric', 'youth', 'prediction', 'risk factors', 'care']"
17,73,23755934,4089.0,0.06091370558375635,0.38375634517766494,0.3408803056864063,0.42663238466892356,197,172.12541506471604,5806496.440659344,2633125,0.22428431884784042,0.189187682393649,0.25938095530203187,0.22685898570597116,"['speech', 'language', 'communication', 'motor', 'disorder', 'impairment', 'individuals', 'assessment', 'cognitive', 'processing']"
18,270,112420315,67778.0,0.16046758767268862,0.45913921360255044,0.4441780672452449,0.474100359959856,1882,602.8981505700282,25972624.90685487,16653615,0.19963646803567492,0.16679857278956087,0.23247436328178897,0.026510992917522683,"['brain', 'neural', 'visual', 'learning', 'imaging', 'attention', 'activity', 'functional', 'disorders', 'fmri']"
19,83,27306354,5539.0,0.16071428571428573,0.47767857142857145,0.4387783718826599,0.516578770974483,280,202.84656091399094,8020324.168376263,3474993,0.3262258763721807,0.21133678404498857,0.44111496869937283,0.09888568958330722,"['depression', 'stress', 'risk', 'symptoms', 'adolescents', 'substance', 'substance use', 'pregnancy', 'treatment', 'behavioral']"
20,235,118890402,36565.0,0.19969512195121952,0.5213414634146342,0.4960220328309814,0.546660893998287,656,307.55216051839074,38907560.98284591,14873662,0.27428682198270654,0.23729427330805952,0.31127937065735356,0.06440699904878366,"['asd', 'children', 'autism', 'adhd', 'behavioral', 'brain', 'disorders', 'early', 'language', 'disorder']"
21,160,56841072,14531.0,0.07707129094412331,0.44951830443159924,0.42380623786034455,0.4752303710028539,519,255.64260997751765,6536649.605501543,3942228,0.09804546320802907,0.0685397806655099,0.1275511457505482,0.0750650945477132,"['cad', 'lesions', 'lung', 'nodules', 'detection', 'cancer', 'radiologists', 'ct', 'images', 'computer']"
22,128,43502268,45177.0,0.23114355231143552,0.5568734793187348,0.5346322058772058,0.5791147527602637,822,1038.4975790227766,18667497.538059883,7308105,0.37564168160419026,0.31927028258159573,0.4320130806267848,0.033316486151389886,"['pd', 'cognitive', 'malaria', 'control', 'disease', 'fmri', 'brain', 'functional', 'memory', 'neural']"
23,135,53258836,9113.0,0.10554089709762533,0.4286279683377308,0.3970377516148301,0.4602181850606315,379,171.10775759350054,16882014.11010724,5284552,0.2915797271832239,0.23353025445647674,0.34962919990997104,0.24171431110400735,"['hiv', 'infection', 'risk', 'testing', 'men', 'social', 'care', 'drug', 'behaviors', 'intervention']"
