Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Years of Availability,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Centroids
0,98,39898016,16953.0,0.12923076923076923,0.43661538461538457,0.401371168777968,0.4718596004528011,325,424.9083463197769,1734,17706505.189286023,5502881,0.3543697571595651,0.28874440892813247,0.4199951053909977,0.08348176763237485,"['memory', 'cognitive', 'neural', 'brain', 'working', 'mechanisms', 'activity', 'task', 'disorders', 'circuit', 'deficits', 'control', 'behavior', 'understanding', 'behavioral']"
1,235,50420113,88381.0,0.10861594867094408,0.4184463794683776,0.4051361529406579,0.4317566059960973,2182,1752.8917477832706,18152,11769688.891702179,6542554,0.20239242153849366,0.17624320278956698,0.22854164028742033,0.04738166311860831,"['dr', 'training', 'career', 'patients', 'career development', 'investigator', 'award', 'disease', 'independent', 'development', 'program', 'risk', 'candidate', 'university', 'school']"
2,110,39450162,48659.0,0.01624815361890694,0.11750369276218613,0.10435881047422946,0.1306485750501428,677,1233.4296624688131,8102,4613594.946776678,4713723,0.10075999821059503,0.03980780010246091,0.16171219631872916,0.04790974373891077,"['proteins', 'protein', 'cell', 'binding', 'function', 'sequence', 'human', 'cells', 'methods', 'molecular', 'involved', 'design', 'molecules', 'biological', 'mass']"
3,238,104466143,21213.0,0.06698564593301436,0.3583732057416268,0.3401450216105153,0.3766013898727383,1045,203.06100513350052,4288,34932845.54306842,15144424,0.2907410007752454,0.2323343063811876,0.3491476951693032,0.22900488292071472,"['hiv', 'infection', 'risk', 'associated', 'study', 'prevention', 'patients', 'cells', 'therapy', 'brain', 'care', 'treatment', 'individuals', 'cohort', 'behaviors']"
4,667,300614143,71012.0,0.1281645569620253,0.43386075949367087,0.4209179312222617,0.44680358776508006,2528,236.2230841547598,13212,144408841.87421852,83421559,0.41464685582757743,0.3835251227826155,0.44576858887253934,-0.018380205484485004,"['risk', 'study', 'physical', 'exposure', 'intervention', 'mental', 'interventions', 'activity', 'early', 'factors', 'outcomes', 'stress', 'behavior', 'mental health', 'aim']"
5,359,154509147,84137.0,0.03173719376391982,0.23680400890868594,0.22464421296167214,0.24896380485569974,1796,544.5438126714919,12536,28529569.429447334,14259445,0.1680397903983118,0.1493282234071966,0.186751357389427,0.03113976932197967,"['gene', 'expression', 'gene expression', 'genes', 'regulatory', 'regulation', 'human', 'cell', 'molecular', 'genome', 'disease', 'networks', 'models', 'methods', 'cells']"
6,228,117939702,112590.0,0.051539491298527446,0.26623159303882193,0.25139420732193213,0.28106897875571174,1494,954.6403635986803,12094,17610131.64849304,14570379,0.12883639526875926,0.10281542692823514,0.15485736360928337,0.03659477154612067,"['dna', 'genome', 'methylation', 'epigenetic', 'regulatory', 'human', 'gene', 'transcription', 'elements', 'binding', 'cell', 'sequence', 'regulation', 'genomic', 'genes']"
7,420,215729169,163154.0,0.20011148272017837,0.5032887402452619,0.4921820602080607,0.5143954202824631,3588,756.2908657938602,23371,68369085.15924494,40088555,0.2793093885301279,0.23793026048500956,0.3206885165752462,0.015038307351428942,"['brain', 'connectivity', 'imaging', 'functional', 'neuroimaging', 'mri', 'disorders', 'development', 'cognitive', 'substance', 'structural', 'substance use', 'analysis', 'methods', 'network']"
8,186,60542241,41519.0,0.058876811594202896,0.37092391304347827,0.35352761769065527,0.38832020839630127,1104,685.7856484037319,14552,7831280.901317506,7866590,0.11415111732780056,0.0852920982076629,0.14301013644793822,0.08245673643263655,"['visual', 'vision', 'eye', 'shape', 'recognition', 'attention', 'neural', 'understanding', 'cortex', 'information', 'human', 'computer', 'brain', 'natural', 'model']"
9,238,112150513,28698.0,0.13188798554652212,0.4285907859078591,0.40902933091919746,0.4481522408965207,1107,255.88826330201448,7546,60903652.76515019,31468314,0.4566833045982586,0.41127045641389137,0.5020961527826259,0.00437479376294226,"['treatment', 'patients', 'heart', 'patient', 'therapy', 'response', 'radiation', 'failure', 'planning', 'disease', 'decision', 'personalized', 'care', 'trial', 'dose']"
10,384,220173706,259892.0,0.09095354523227384,0.37183374083129583,0.36231735305713636,0.3813501286054553,4090,1180.3952648187699,26227,70143277.3935474,20949521,0.29697932379884684,0.2537687402489758,0.3401899073487179,0.036914778157984725,"['cancer', 'tumor', 'cancers', 'cell', 'patients', 'patient', 'mutations', 'treatment', 'analysis', 'tumors', 'methods', 'molecular', 'genomics', 'cells', 'computational']"
11,136,42036898,12548.0,0.08453608247422681,0.3925773195876288,0.3646591473380509,0.42049549183720675,485,298.4996656984537,3832,7634578.104062551,1984046,0.1629117138160321,0.12341145018153699,0.2024119774505272,0.2249191277830709,"['speech', 'language', 'motor', 'communication', 'neural', 'measures', 'time', 'model', 'real time', 'real', 'disorders', 'normal', 'brain', 'control', 'human']"
12,308,94738711,95534.0,0.008029647930821495,0.13634959851760345,0.1270122517852758,0.1456869452499311,1619,1008.394551621037,14759,13340647.231698725,7563398,0.12706717345899474,0.08489796450196685,0.16923638241602262,0.09233207684643396,"['protein', 'structure', 'proteins', 'sequence', 'structures', 'interactions', 'function', 'structural', 'methods', 'computational', 'prediction', 'binding', 'molecular', 'sequences', 'models']"
