text,title,id,project_number,terms,administration,organization,mechanism,year,funding,score
"FETAL LUNG BIOCHEMISTRY AND 3-DIMENSIONAL MICROANATOMY During late fetal development, the lung must prepare for the transition to air breathing.  Maintaining alveolar stability becomes vital for survival. Therapy with glucocorticoids to enhance lung maturity may have immediate and long term consequences for lung structure and function.  This series of investigations is directed toward furthering our basic knowledge of lung secretory cell development.  We will use structural and biochemical methods to test hypotheses of secretory cell function and to test the probabilities that glucocorticoids damage fetal and newborn lung structure.  We intend to study biochemical and 3-dimensional morphologic changes during epithelial cell maturation in the last days of fetal development.  We will test hypotheses of the assembly of lamellar bodies and assess the changes in type II cell maturation induced by glucocorticoids.  This drug induced accelerated maturation is a relevant clinical concern as the effects are widespread within the lung and have not been shown to be entirely reversible during postnatal growth.  A detailed 3-dimensional morphologic study of groups of alveolar septa and of terminal bronchiolar structure will be conducted at allow magnification level that will test the microanatomic basis for theories of cell-cell interactions.  ",FETAL LUNG BIOCHEMISTRY AND 3-DIMENSIONAL MICROANATOMY,3343489,R01HL032188,"['stainings ', ' pulmonary surfactants ', ' lung alveolus ', ' lung ', ' bronchus ', ' respiratory function ', ' embryo /fetus drug adverse effect ', ' gestational age ', ' embryo /fetus ', ' longitudinal animal study ', ' density gradient ultracentrifugation ', ' thin layer chromatography ', ' phospholipids ', ' photography ', ' electron microscopy ', ' morphology ', ' postnatal growth disorder ', ' computer graphics /printing ', ' artificial intelligence ', ' cell morphology ', ' cell differentiation ', ' Golgi apparatus ', ' cell cell interaction ', ' secretion ', ' biochemistry ', ' glucocorticoids ', ' ']",NHLBI,DUKE UNIVERSITY,R01,1985,148451,0.2304313376393357
"A COMPLETE SYSTEM FOR THE AUTOMATED ANALYSIS OF SLEEP DA This project will develop a computer system for the automated analysis of sleep data which includes the capability for detecting the waveforms normally occurring in the sleep EEG (macroanalysis), and for making a detailed analysis of the waves in these waveforms (microanalysis).  The system will include a data base management system for maintaining a library of processed records from which one can select records sorted for a particular parameter or parameters such are age.  The work will incorporate recent advances in Artificial Intelligence on the design of Expert Systems.  The system will include software which allows the user to communicate with the computer in human language form.  Much of the knowledge and expertise required for the operation of automated sleep analysis systems will be programmed into the computer.  The proposed system will allow all sleep investigators to easily use such a computer.  The Expert System will also serve as a repository for knowledge accumulated by many sleep specialists.  The computer will enable one to obtain a more detailed description of the sleep process than is currently obtained using visual scoring, and it will provide objective data which can be shared by all laboratories.  In addition, the system will provide an economical method for providing sleep analysis to a large subject population.  The Association of Sleep Disorder Centers will supply data and evaluate results of the automated analysis.  The study will assist the establishment of objective criteria for the diagnosis and treatment of sleep disorders.  The resulting system can provide a method for making sleep studies easily and economically available to a broad subject population.  ",A COMPLETE SYSTEM FOR THE AUTOMATED ANALYSIS OF SLEEP DA,3400143,R01NS019996,"['sleep ', ' sleep disorders ', ' information systems ', ' computer graphics /printing ', ' computer data analysis ', ' online computer ', ' computer system design /evaluation ', ' artificial intelligence ', ' computers ', ' electroencephalography ', ' computer assisted medical decision making ', ' computer assisted diagnosis ', ' ']",NINDS,UNIVERSITY OF FLORIDA,R01,1985,92380,0.12882126692996337
"A COMPLETE SYSTEM FOR THE AUTOMATED ANALYSIS OF SLEEP DA This project will develop a computer system for the automated analysis of sleep data which includes the capability for detecting the waveforms normally occurring in the sleep EEG (macroanalysis), and for making a detailed analysis of the waves in these waveforms (microanalysis).  The system will include a data base management system for maintaining a library of processed records from which one can select records sorted for a particular parameter or parameters such are age.  The work will incorporate recent advances in Artificial Intelligence on the design of Expert Systems.  The system will include software which allows the user to communicate with the computer in human language form.  Much of the knowledge and expertise required for the operation of automated sleep analysis systems will be programmed into the computer.  The proposed system will allow all sleep investigators to easily use such a computer.  The Expert System will also serve as a repository for knowledge accumulated by many sleep specialists.  The computer will enable one to obtain a more detailed description of the sleep process than is currently obtained using visual scoring, and it will provide objective data which can be shared by all laboratories.  In addition, the system will provide an economical method for providing sleep analysis to a large subject population.  The Association of Sleep Disorder Centers will supply data and evaluate results of the automated analysis.  The study will assist the establishment of objective criteria for the diagnosis and treatment of sleep disorders.  The resulting system can provide a method for making sleep studies easily and economically available to a broad subject population.  ",A COMPLETE SYSTEM FOR THE AUTOMATED ANALYSIS OF SLEEP DA,3400146,R01NS019996,"['sleep ', ' sleep disorders ', ' information systems ', ' computer graphics /printing ', ' computer data analysis ', ' online computer ', ' computer system design /evaluation ', ' artificial intelligence ', ' computers ', ' electroencephalography ', ' computer assisted medical decision making ', ' computer assisted diagnosis ', ' ']",NINDS,UNIVERSITY OF FLORIDA,R01,1986,93559,0.12882126692996337
"FETAL LUNG BIOCHEMISTRY AND 3-DIMENSIONAL MICROANATOMY During late fetal development, the lung must prepare for the transition to air breathing.  Maintaining alveolar stability becomes vital for survival. Therapy with glucocorticoids to enhance lung maturity may have immediate and long term consequences for lung structure and function.  This series of investigations is directed toward furthering our basic knowledge of lung secretory cell development.  We will use structural and biochemical methods to test hypotheses of secretory cell function and to test the probabilities that glucocorticoids damage fetal and newborn lung structure.  We intend to study biochemical and 3-dimensional morphologic changes during epithelial cell maturation in the last days of fetal development.  We will test hypotheses of the assembly of lamellar bodies and assess the changes in type II cell maturation induced by glucocorticoids.  This drug induced accelerated maturation is a relevant clinical concern as the effects are widespread within the lung and have not been shown to be entirely reversible during postnatal growth.  A detailed 3-dimensional morphologic study of groups of alveolar septa and of terminal bronchiolar structure will be conducted at allow magnification level that will test the microanatomic basis for theories of cell-cell interactions.  ",FETAL LUNG BIOCHEMISTRY AND 3-DIMENSIONAL MICROANATOMY,3343490,R01HL032188,"['stainings ', ' pulmonary surfactants ', ' lung alveolus ', ' lung ', ' bronchus ', ' respiratory function ', ' embryo /fetus drug adverse effect ', ' gestational age ', ' embryo /fetus ', ' longitudinal animal study ', ' density gradient ultracentrifugation ', ' thin layer chromatography ', ' phospholipids ', ' photography ', ' electron microscopy ', ' morphology ', ' postnatal growth disorder ', ' computer graphics /printing ', ' artificial intelligence ', ' cell morphology ', ' cell differentiation ', ' Golgi apparatus ', ' cell cell interaction ', ' secretion ', ' biochemistry ', ' glucocorticoids ', ' ']",NHLBI,DUKE UNIVERSITY,R01,1986,145910,0.2304313376393357
"FETAL LUNG BIOCHEMISTRY AND 3-DIMENSIONAL MICROANATOMY During late fetal development, the lung must prepare for the transition to air breathing.  Maintaining alveolar stability becomes vital for survival. Therapy with glucocorticoids to enhance lung maturity may have immediate and long term consequences for lung structure and function.  This series of investigations is directed toward furthering our basic knowledge of lung secretory cell development.  We will use structural and biochemical methods to test hypotheses of secretory cell function and to test the probabilities that glucocorticoids damage fetal and newborn lung structure.  We intend to study biochemical and 3-dimensional morphologic changes during epithelial cell maturation in the last days of fetal development.  We will test hypotheses of the assembly of lamellar bodies and assess the changes in type II cell maturation induced by glucocorticoids.  This drug induced accelerated maturation is a relevant clinical concern as the effects are widespread within the lung and have not been shown to be entirely reversible during postnatal growth.  A detailed 3-dimensional morphologic study of groups of alveolar septa and of terminal bronchiolar structure will be conducted at allow magnification level that will test the microanatomic basis for theories of cell-cell interactions.  ",FETAL LUNG BIOCHEMISTRY AND 3-DIMENSIONAL MICROANATOMY,3343486,R01HL032188,"['stainings ', ' pulmonary surfactants ', ' lung alveolus ', ' lung ', ' bronchus ', ' respiratory function ', ' embryo /fetus drug adverse effect ', ' gestational age ', ' embryo /fetus ', ' longitudinal animal study ', ' density gradient ultracentrifugation ', ' thin layer chromatography ', ' phospholipids ', ' photography ', ' electron microscopy ', ' morphology ', ' postnatal growth disorder ', ' computer graphics /printing ', ' artificial intelligence ', ' cell morphology ', ' cell differentiation ', ' Golgi apparatus ', ' cell cell interaction ', ' secretion ', ' biochemistry ', ' glucocorticoids ', ' ']",NHLBI,DUKE UNIVERSITY,R01,1987,160617,0.2304313376393357
"A COMPLETE SYSTEM FOR AUTOMATED ANALYSIS OF SLEEP DATA This project will develop a computer system for the automated analysis of sleep data including EEG, EOG, EMG, and respiration signals.  The system will include a data base management system for maintaining a library of processed records from which one can select records sorted for a particular parameter or parameters such as age.  The work will incorporate recent advances in Artificial Intelligence on the design of Expert Systems.  The system will include software which allows the user to communicate with the computer in human language form.  Much of the knowledge and expertise required for the operation of automated sleep analysis systems will be programmed into the computer.  The system will also serve as a repository for knowledge accumulated by many sleep specialists.  The computer will enable one to obtain a more detailed description of the sleep process than is currently obtained using visual scoring, and it will provide objective data which can be shared by all laboratories.  In addition, the system will provide objective data which can be shared by all laboratories.  In addition, the system will provide an economical method for providing sleep analysis to a large subject population.  The system is to be evaluated with sleep records, a magnetic tape, which has been hand scored by three independent laboratories.  In addition to EEG/EOG/EMG data the system will analyze respiration patterns, oxygen saturation levels, heart rate and leg myoclonus.  The study will assist the establishment of objective criteria for the diagnosis and treatment of sleep disorders.  The resulting system can provide a method for making sleep studies easily and economically available to a broad subject population.  ",A COMPLETE SYSTEM FOR AUTOMATED ANALYSIS OF SLEEP DATA,3400145,R01NS019996,"['respiratory gas level ', ' pulmonary respiration ', ' respiratory center dysfunction ', ' REM sleep ', ' sleep ', ' myoclonus ', ' sleep disorders ', ' electromyography ', ' heart rate ', ' electrooculography ', ' computer simulation ', ' computer graphics /printing ', ' online computer ', ' computer human interaction ', ' computer system design /evaluation ', ' artificial intelligence ', ' electroencephalography ', ' computer assisted diagnosis ', ' biomedical automation ', ' biomedical registry /referral center ', ' ']",NINDS,UNIVERSITY OF FLORIDA,R01,1987,82523,0.11984777288217045
"ASSAY OF NUCLEOSIDES IN SMALL CELL CARCINOMA OF THE LUNG Several investigators have implicated modified ribonucleosides presumably modification products from transfer ribonucleic acids (tRNA's) as potential biological markers for cancer.  Elevated levels of these molecules have been quantitated in the serum or urine of cancer patients by HPLCUV or immunoassay.  In this proposal we will demonstrate the feasability of preparation of antibodies to two common modified nucleosides and the development of an immunoassay for their easy quantitation. Additionally, the levels of 30 modified nucleosides will be determined in the serum from lung cancer patients and normal controls.  These data will be subjected to pattern recognition analysis to develop a profile of selected serum modified nucleoside concentrations which can define a biological marker(s) for lung cancer.  An immunoassay diagnostic kit will be developed for detection of these biomarkers with attributes of high sensitivity and specificity.  ",ASSAY OF NUCLEOSIDES IN SMALL CELL CARCINOMA OF THE LUNG,3491790,R43CA045844,"['high performance liquid chromatography ', ' nucleosides ', ' transfer RNA ', ' small cell lung cancer ', ' neoplasm /cancer immunodiagnosis ', ' human tissue ', ' artificial intelligence ', ' ']",NCI,"IMBIC, INC.",R43,1987,50000,0.13857871697224142
"A COMPLETE SYSTEM FOR AUTOMATED ANALYSIS OF SLEEP DATA This project will develop a computer system for the automated analysis of sleep data including EEG, EOG, EMG, and respiration signals.  The system will include a data base management system for maintaining a library of processed records from which one can select records sorted for a particular parameter or parameters such as age.  The work will incorporate recent advances in Artificial Intelligence on the design of Expert Systems.  The system will include software which allows the user to communicate with the computer in human language form.  Much of the knowledge and expertise required for the operation of automated sleep analysis systems will be programmed into the computer.  The system will also serve as a repository for knowledge accumulated by many sleep specialists.  The computer will enable one to obtain a more detailed description of the sleep process than is currently obtained using visual scoring, and it will provide objective data which can be shared by all laboratories.  In addition, the system will provide objective data which can be shared by all laboratories.  In addition, the system will provide an economical method for providing sleep analysis to a large subject population.  The system is to be evaluated with sleep records, a magnetic tape, which has been hand scored by three independent laboratories.  In addition to EEG/EOG/EMG data the system will analyze respiration patterns, oxygen saturation levels, heart rate and leg myoclonus.  The study will assist the establishment of objective criteria for the diagnosis and treatment of sleep disorders.  The resulting system can provide a method for making sleep studies easily and economically available to a broad subject population.  ",A COMPLETE SYSTEM FOR AUTOMATED ANALYSIS OF SLEEP DATA,3400147,R01NS019996,"['respiratory gas level ', ' pulmonary respiration ', ' respiratory center dysfunction ', ' REM sleep ', ' sleep ', ' myoclonus ', ' sleep disorders ', ' electromyography ', ' heart rate ', ' electrooculography ', ' computer simulation ', ' computer graphics /printing ', ' online computer ', ' computer human interaction ', ' computer system design /evaluation ', ' artificial intelligence ', ' electroencephalography ', ' computer assisted diagnosis ', ' biomedical automation ', ' biomedical registry /referral center ', ' ']",NINDS,UNIVERSITY OF FLORIDA,R01,1988,76930,0.11984777288217045
"COMPUTER SYSTEM FOR THE AUTOMATED ANALYSIS OF SLEEP A system for the objective analysis of physiological data (EEG, EMG, EOG, NPT, periodic leg movements, respiration, oxygen saturation level, and body temperature) occurring during sleep, is to be designed and evaluated.  The system will include a token generator (signal processor) interfaced to a host computer.  The token generator will detect and quantify the waveforms of interest and transmit the information to the host computer.  The host (a personal computer based system) will be designed using an expert system design shell and will include a knowledge base, knowledge base editor, user interface, interactive graphics and a data base management system.  The result will be a system easy to use by operators not familiar with computers or signal processing and one which can readily be expanded as more knowledge about the system and sleep analysis are acquired.  The research will include systematic studies, by two independent sleep laboratories, to demonstrate the utility and validity of the information obtained from automated analysis.  These studies will also provide information which will be used to further improve the system design.  The resulting system will provide a much more detailed description of the sleep process than is now possible, increase standardization of sleep studies, and provide a means for bringing sleep studies to a larger patient population.  ",COMPUTER SYSTEM FOR THE AUTOMATED ANALYSIS OF SLEEP,3508966,R44MH041679,"['sleep ', ' electromyography ', ' electrooculography ', ' computer graphics /printing ', ' computer system design /evaluation ', ' artificial intelligence ', ' electroencephalography ', ' patient monitoring device ', ' clinical biomedical equipment ', ' ']",NIMH,MICROTRONICS,R44,1988,206001,0.10675689138111545
"FETAL LUNG BIOCHEMISTRY AND 3-DIMENSIONAL MICROANATOMY During late fetal development, the lung must prepare for the transition to air breathing.  Maintaining alveolar stability becomes vital for survival. Therapy with glucocorticoids to enhance lung maturity may have immediate and long term consequences for lung structure and function.  This series of investigations is directed toward furthering our basic knowledge of lung secretory cell development.  We will use structural and biochemical methods to test hypotheses of secretory cell function and to test the probabilities that glucocorticoids damage fetal and newborn lung structure.  We intend to study biochemical and 3-dimensional morphologic changes during epithelial cell maturation in the last days of fetal development.  We will test hypotheses of the assembly of lamellar bodies and assess the changes in type II cell maturation induced by glucocorticoids.  This drug induced accelerated maturation is a relevant clinical concern as the effects are widespread within the lung and have not been shown to be entirely reversible during postnatal growth.  A detailed 3-dimensional morphologic study of groups of alveolar septa and of terminal bronchiolar structure will be conducted at allow magnification level that will test the microanatomic basis for theories of cell-cell interactions.  ",FETAL LUNG BIOCHEMISTRY AND 3-DIMENSIONAL MICROANATOMY,3343491,R01HL032188,"['stainings ', ' pulmonary surfactants ', ' lung alveolus ', ' lung ', ' bronchus ', ' respiratory function ', ' elastin ', ' collagen ', ' embryo /fetus drug adverse effect ', ' gestational age ', ' embryo /fetus ', ' longitudinal animal study ', ' density gradient ultracentrifugation ', ' thin layer chromatography ', ' phospholipids ', ' photography ', ' electron microscopy ', ' morphology ', ' postnatal growth disorder ', ' computer graphics /printing ', ' artificial intelligence ', ' cell morphology ', ' cell differentiation ', ' Golgi apparatus ', ' cell cell interaction ', ' secretion ', ' biochemistry ', ' laboratory rat ', ' glucocorticoids ', ' ']",NHLBI,DUKE UNIVERSITY,R01,1988,163405,0.2304313376393357
