text,title,id,terms,administration,organization,mechanism,year,cost,funding
"Mammography Screening Decisions in the Elderly DESCRIPTION (provided by applicant):  The benefits of mammography screening in women age 80 and older are uncertain. Guidelines encourage physicians to consider life expectancy before screening elderly women and to discuss the risks and benefits of screening with their elderly patients. Despite these recommendations, many elderly women are screened even those in poor health. It is unknown why so many elderly women are choosing to be screened and what factors influence this decision. To determine the accuracy of elderly women's knowledge about screening mammography and factors that influence screening decisions, the applicant proposes a two-phase study. Phase 1 uses qualitative methods to develop a survey about mammography screening decisions in the elderly and phase 2 involves administering the survey to a larger sample of women age 80 and older, using women ages 50-69 as a comparison group. Bivariable analyses and multivariable logistic regression will be performed to compare the accuracy of screening knowledge between elderly and younger patients as well as to determine age differences in the influence of several factors on the decision to be screened. This is the first study to explore very elderly women's approach to decisions about screening mammography. n/a",Mammography Screening Decisions in the Elderly,7107006,"['age difference', 'behavioral /social science research tag', 'clinical research', 'data collection', 'decision making', 'female', 'health surveys', 'human middle age (35-64)', 'human old age (65+)', 'human subject', 'interview', 'mammography', 'perception', 'postdoctoral investigator', 'preference', 'women&apos', 's health']",NCI,BETH ISRAEL DEACONESS MEDICAL CENTER,F32,2005,1913,135941803
"An Expert System to Reduce Depression in Primary Care A variety of effective interventions exist for people who seek help for depression. However, there is a lack of effective interventions for individuals who do not seek help or follow through with treatment referrals. We propose to fill this gap in services by developing and testing a Transtheoretical Model-based intervention that will be delivered proactively, on a population basis, to primary care patients who are experiencing symptoms of depression but are not currently involved in treatment. It is the first intervention for depression that is appropriate for individuals in all stages of change-not merely the minority who are prepared to take action. In Phase I of this Fast Track Initiative, the aims are to norm TTM measures, develop the TTM interventions, and determine the feasibility of this approach by assessing study recruitment rates and reactions to the intervention materials. Primary care patients who screen positive for mild to moderate depression and are not involved in treatment will complete surveys for measurement norming (n=100) or participate in a pilot-test of the intervention materials (n=50). If feasibility conditions are met, we will conduct a randomized clinical trial in Phase II to assess the efficacy of the expert system intervention for depression. PROPOSED COMMERCIAL APPLICATIONS: Depression is a costly illness for health care organizations, disability insurers, and employers because of increased health service utilization, disability claims, and lost productively among depressed individuals. An effective, low-cost expert system that can reduce the prevalence of depression on a population basis has significant commercial potential.  n/a",An Expert System to Reduce Depression in Primary Care,6655484,"['artificial intelligence', ' behavioral /social science research tag', ' cognitive behavior therapy', ' computer assisted diagnosis', ' computer assisted patient care', ' depression', ' health behavior', ' health care model', ' health care service utilization', ' health services research tag', ' human subject', ' human therapy evaluation', ' mass screening', ' medical outreach /case finding', ' mental disorder diagnosis', ' outcomes research', ' patient oriented research', ' primary care physician']",NIMH,"PRO-CHANGE BEHAVIOR SYSTEMS, INC.",R44,2002,9927,846010
"Genetic Association Study in African-American Colorectal Cancer Patients    DESCRIPTION (provided by applicant): Colorectal cancer (CRC) is a significant cause of cancer morbidity and mortality in the US. Determining who is at higher risk is especially important in CRC because screening tests are available that are proven to reduce death. Risk of CRC development is due to both hereditary and environmental factors which are not uniformly shared between all populations. To date, the field of CRC genetics has focused largely on Caucasian populations, while few studies have included African-American (AA) patients. Determining risk factors in AAs is an especially important goal because both incidence and mortality in this population are not decreasing as they are in all other US populations. At the University of Chicago, we are uniquely equipped to address genetic factors in AAs because we have assembled a large AA CRC case-control series. The main purpose of this study is to identify CRC-susceptibility alleles using a candidate gene screen approach and test for association in AA CRC patients and controls. CRC is particularly amenable to candidate gene studies because biologically relevant pathways have been identified in hereditary CRC syndromes and in the analysis of carcinogenesis in the adenoma to carcinoma sequence. The base excision repair pathway is especially interesting because recent work has elucidated a recessive polyposis syndrome associated with mutations in the gene MYH. Thus, genes involved in this pathway are biologically plausible candidates for harboring CRC-susceptibility alleles, but they have not been adequately identified or characterized in AAs to date. Our hypothesis is that novel susceptibility alleles in base-excision repair genes contribute to risk of CRC development in African-Americans. To test this hypothesis, we will screen candidate base-excision repair genes using high throughput heteroduplex analysis and use sequencing to characterize DNA changes (Specific Aim 1). To control for population stratification in our admixed AA population, we will determine individual ancestry estimates using a set of high informative ancestry informative markers (Specific Aim 2). Finally, we will genotype our putative CRC-susceptibility alleles identified in our candidate gene screens in a series of 400 AA CRC cases and 400 controls and then test for association by logistic regression (Specific Aim 3). With improved understanding of individual risk and proper screening, colorectal cancer is largely a preventable disease. The goal of our study is to better understand hereditary factors that increase risk especially in African-Americans who have the highest incidence and death from this cancer.           n/a",Genetic Association Study in African-American Colorectal Cancer Patients,7531036,"['Address', 'African American', 'Alleles', 'Base Excision Repairs', 'Cancer Etiology', 'Cancer Patient', 'Candidate Disease Gene', 'Carcinoma', 'Caucasians', 'Caucasoid Race', 'Cessation of life', 'Chicago', 'Colorectal Cancer', 'DNA', 'Development', 'Disease', 'Environmental Risk Factor', 'Genes', 'Genetic', 'Genotype', 'Goals', 'Heteroduplex Analysis', 'Incidence', 'Individual', 'Inherited', 'Logistic Regressions', 'Malignant Neoplasms', 'Morbidity - disease rate', 'Mutation', 'Pathway interactions', 'Patients', 'Population', 'Population Control', 'Predisposition', 'Purpose', 'Risk', 'Risk Factors', 'Screening procedure', 'Series', 'Stratification', 'Syndrome', 'Testing', 'Universities', 'Work', 'adenoma', 'cancer genetics', 'carcinogenesis', 'case control', 'colorectal cancer screening', 'gene repair', 'genetic association', 'improved', 'interest', 'mortality', 'novel', 'polyposis']",NCI,UNIVERSITY OF CHICAGO,F32,2008,12818,246330700
"Hypertensive Medication Adherence in Young African American Women Project Abstract Uncontrolled hypertension [HTN] due to poor blood pressure [BP] medication adherence in young and early middle age African American [AA] women is a leading contributor for the sustained hypertension disparities in the US. AA women in the US 20-44 years of age, have the highest prevalence of Hypertension [HTN] when compared to White women of the same age group. Uncontrolled HTN is a significant risk factor for stroke, heart failure, kidney disease, and early mortality, especially in this at-risk group. Barriers prohibiting BP medication adherence have been well characterized across the AA population except in young AA women who bear an unequal and different burden of stressors than older AA women. However, important underlying factors including HTN illness perceptions/representations, unique psychosocial factors including resilient coping, and their influence on good BP medication adherence have not been sufficiently studied among this vulnerable group. Evidence indicating that AAs acquire HTN at younger ages, are less adherent, and are more resistant to treatment compared to other ethnic groups provides a compelling impetus to identify positive and modifiable factors that contribute to BP medication adherence. The specific aims of this cross-sectional dissertation study are to examine the relationships among sociodemographic & clinical profiles, HTN illness perceptions, and BP medication adherence; and examine the relationships between psychosocial factors, resilient coping style, and BP medication adherence when controlling for sociodemographic factors in a sample of young hypertensive AA women. An exploratory aim will examine the relationship of resilient coping as a potential moderator of high or low adverse stress exposure and its effect on BP medication adherence to elicit understanding of variability in BP medication adherence among this subgroup of hypertensive women. A total of 110 AA women diagnosed with HTN, 18-45 years of age, will be recruited through an ongoing community health heart screening project which is targeting AA women diagnosed with HTN, at-risk for HTN, and other cardiovascular disease risk factors in a large southern urban setting. Descriptive, bivariate correlation, and logistic regression will be used for statistical analysis of the aims. Completion of the proposed study is the first step towards understanding the impact of modifiable factors such as HTN illness perceptions and resilient coping, and their impact on BP medication adherence in this vulnerable population. This study will provide important data to inform development and testing of effective and targeted interventions to reduce HTN disparities while improving health outcomes in a population predisposed to adverse cardiovascular events. Project Narrative Young and early middle age adult AA women represent a growing group of ethnic minority women diagnosed with hypertension in the United States. This study will examine novel constructs (HTN illness Perceptions and Resilient Coping) and psychosocial factors in relation to hypertension medication adherence to determine their importance in facilitating medication adherence in a population for whom limited information is known regarding factors associated with increased levels of medication adherence. Information gained from this study may advance the field of cardiovascular research and ethnic minority hypertension disparities and may help develop culturally targeted interventions to reduce poor medication adherence, thus improving rates of uncontrolled hypertension in the future.",Hypertensive Medication Adherence in Young African American Women,9677584,"['Address', 'Adherence', 'Adult', 'Affect', 'African American', 'Age', 'Age-Years', 'Behavioral', 'Belief', 'Blood Pressure', 'Cardiac health', 'Cardiovascular system', 'Clinical', 'Cognitive', 'Community Health', 'Comorbidity', 'Complex', 'Coping Behavior', 'Cross-Sectional Studies', 'Data', 'Death Rate', 'Development', 'Diagnosis', 'Education', 'Ethnic group', 'Event', 'Exposure to', 'Future', 'Gender', 'Health', 'Health Insurance', 'Health behavior', 'Heart Diseases', 'Heart failure', 'High Prevalence', 'Hypertension', 'Income', 'Intervention', 'Kidney Diseases', 'Knowledge', 'Life', 'Link', 'Logistic Regressions', 'Measures', 'Modeling', 'Morbidity - disease rate', 'Occupations', 'Outcome', 'Patients', 'Perception', 'Pharmaceutical Preparations', 'Play', 'Population', 'Poverty', 'Predictive Factor', 'Prevalence', 'Process', 'Psychosocial Factor', 'Research', 'Resistance', 'Risk', 'Risk Factors', 'Role', 'Sampling', 'Sex Discrimination', 'Single Parent', 'Social Class', 'Social support', 'Statistical Data Interpretation', 'Stress', 'Stress and Coping', 'Stroke', 'Subgroup', 'Support System', 'Testing', 'Time', 'United States', 'Ursidae Family', 'Vulnerable Populations', 'Well in self', 'Woman', 'age group', 'associated symptom', 'blood pressure medication', 'blood pressure regulation', 'cardiovascular disorder risk', 'coping', 'depressive symptoms', 'effective intervention', 'enhancing factor', 'ethnic minority population', 'high risk', 'illness perceptions', 'improved', 'insight', 'lifestyle factors', 'medication compliance', 'middle age', 'mortality', 'neighborhood disadvantage', 'novel', 'prevent', 'psychosocial', 'racial discrimination', 'recruit', 'resilience', 'response', 'screening', 'sociodemographics', 'socioeconomics', 'stressor', 'stroke risk', 'success', 'theories', 'urban setting', 'young woman']",NINR,EMORY UNIVERSITY,F31,2019,14236,507546965
"FACTORS ASSOCIATED WITH COLORECTAL CANCER SCREENING DESCRIPTION:  Colorectal cancer (CRC) is the second leading cause of cancer      mortality among men and women in the United States.  Though early detection      can lead to decreased mortality and morbidity, screening remains markedly        underutilized by persons at increased risk:  those aged 51 and older and         those with a family history, personal history of colorectal polyps,              ulcerative colitis, high fat/low fiber diets, and sedentary life-styles.         And, previous research findings with respect to breast cancer prevention         have shown that beliefs and health system factors can influence screening        behavior.  This work has not been extended to CRC, and work framed by the        Trans-Theoretical Model's stages of change has also not been conducted in        the area.  The purpose of the proposed study is, therefore, to examine the       relationship of selected predisposing, reinforcing, and enabling factors on      stages of adoption of CRC screening (including Fecal Occult Blood                Testing/FOBT, flexible sigmoidoscopy, and colonoscopy).  Univariate              statistical techniques (correlations, ANOVA, t-test, Chi Square) will be         utilized to examine relationships among predisposing, enabling, and              reinforcing factors, and stage of CRC screening adoption.  Polytomous            logistic regression analysis will be conducted to determine the set of           predictors significantly associated with each stage of screening behavior.       RESEARCH PLAN                                                                     n/a",FACTORS ASSOCIATED WITH COLORECTAL CANCER SCREENING,6139452,"['aging', ' clinical research', ' colorectal neoplasms', ' diagnosis design /evaluation', ' disease /disorder etiology', ' human middle age (35-64)', ' human old age (65+)', ' human subject', ' mass screening', ' neoplasm /cancer diagnosis', ' neoplasm /cancer epidemiology']",NINR,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,F31,2000,18992,232986943
"DOMESTIC VIOLENCE--CHINESE WOMEN IN THE US AND IN CHINA Chinese families are particularly in a vulnerable position for domestic violence due to lack of awareness and cultural background.  Few studies have looked at the prevalence and outcomes of domestic violence among the Chinese population, in the US or in China.  The specific aims of the proposed study will focus on: 1) to develop a culturally appropriate instrument for assessing domestic violence against Chinese women in the US and in China; 2) to investigate, document and compare the type and prevalence of domestic violence in Chinese women in the US and in China; 3) to investigate and compare the risk factors for domestic violence in Chinese women in the US and in China; and 4) to examine and compare the mental and physical health outcomes associated with domestic violence in Chinese women in the US and China.  For preliminary instrument development, a total sample of 200 battered Chinese women and staff working with them will be obtained from 3 Asian Women's Shelters in the US and a Women's Federation in China.  A final random sample of 2000 Chinese women will be interviewed in New York Chinatown clinical settings and 4 major hospitals in Fuzhou, China for the abuse prevalence survey. Medical records will be reviewed on at least 120 battered women identified from the prevalence survey in both countries.  The interview instrument for domestic violence screening, which will screen for prior year abuse and lifetime history of abuse and types of abuse, will be designed and tested for reliability and validity prior to the dissertation.  Descriptive statistics and odds ratios will be used to compare types and prevalence of abuse, and multiple logistic regression will be used to determine the risk factors and associated medical conditions and symptoms for cases as compared to controls.  This proposed study will build on the Sponsor's prior and current research in the area with case control studies, and the applicant's preliminary prevalence violence study in China to investigate domestic violence in Chinese population in the US and in China.  n/a",DOMESTIC VIOLENCE--CHINESE WOMEN IN THE US AND IN CHINA,6187489,"['China', ' Chinese', ' Chinese American', ' behavioral /social science research tag', ' case history', ' clinical research', ' culture', ' diagnosis design /evaluation', ' disease /disorder proneness /risk', ' epidemiology', ' female', ' health', ' human subject', ' interview', ' mental health', ' racial /ethnic difference', ' spouse abuse', ' statistics /biometry', ' violence']",NINR,JOHNS HOPKINS UNIVERSITY,F31,2000,28480,807432003
"Organizational Predictors of Colon Cancer Screening    DESCRIPTION (provided by the applicant): Several recent reports including the Institute of Medicine's ""Crossing the Quality Chasm"" have called attention to systems or organizational level factors as critical to the improvement of health care quality in the United States. In addition, understanding the context or environment in which an organization exists is also important to crafting policy-relevant research. The predominance of managed care organizations over the last two decades is an example of an environmental influence that has changed the organization and delivery of health care in the United States. The purpose of the proposed research is to examine how the environmental context of an organization influences organizational structures and processes and ultimately affects the care delivered at the site. The clinical focus of this study is colorectal cancer (CRC) screening. To date, most of the research on the delivery of CRC screening has focused on individual patient-level factors, leaving the influence of organizational factors poorly understood. This cross sectional study uses data from several different sources including: Interstudy, the Area Resource File, and the Veteran's Health Administration (VHA). Ordinary least squares and multi-level logistic regression models will be used to explore: (1) the relationship between managed care penetration and adoption of managed care practices in the VHA that may affect CRC screening rates; (2) the relationship between managed care penetration and receipt of colorectal cancer screening within the VHA system; and (3) the effect of managed care penetration on the probability of receiving CRC screening inside the VHA system among those who received CRC screening. Understanding the relationship of organizational influences and variations in the delivery of CRC screening will provide a better understanding of the barriers to the use of this service. Such information may serve as the basis for the design of interventions to improve CRC screening.         n/a",Organizational Predictors of Colon Cancer Screening,6802918,"['colorectal neoplasms', 'health care quality', 'health care service organization', 'health care service utilization', 'health services research tag', 'human data', 'managed care', 'mathematical model', 'neoplasm /cancer diagnosis', 'statistics /biometry']",AHRQ,UNIVERSITY OF CALIFORNIA LOS ANGELES,R36,2004,29997,673201228
"Latinas:  Impact of Citizenship on Access to Pap Smears Some studies have found Latina women to be a particularly vulnerable population as regards underutilization of preventive services (Anderson and May, 1995, Kirkman-Liff and Kronenfeld, 1992). Given the importance of preventive services, including cancer-screening services to reduce morbidity and mortality, it is important to identify predictors of this under-utilization of services. Barriers specific to immigrant women have been investigated including issues of acculturation, language, and country of origin. However, one factor that has not been explored is the impact of citizenship status. The Expanded Andersen Behavioral Model of Health Services Use is a highly regarded model for explaining health care services utilization. To date, citizenship status has not been included in this model. Citizenship may increase the predictive ability of this model and should be considered for inclusion. The purpose of this research is to test, through applied research, the appropriateness of including a citizenship variable in the Andersen paradigm. This research is designed to examine utilization of preventive services by Latina women living in Los Angeles County with the intent of determining whether citizenship plays a significant role in access, especially for the large Latina immigrant population. Access/ utilization will be measured by appropriate use of the specific cancer-screening test for cancer of the cervix, the Pap smear. A cross-sectional study design using a secondary data source will examine the impact of citizenship on a sample of 1784 Latina women, ages 18 years or older, living in Los Angeles County. The data are from the 1997 Los Angeles County Health Survey which is a population-based, random digit dialing telephone survey of 8,004 households in Los Angeles County. Logistic regression will be performed separately for each of the empirical models. Stepwise regression will facilitate variables being added (forced in) according to the expansion of the initial, simple model. This modeling methodology allows for analysis of changes in the results as the conceptual model is expanded to include additional predictors of Pap smear utilization. The final model will control for approximately 40+ separate factors derived from the Andersen Model that might impact on access/utilization of this preventive service.  n/a",Latinas:  Impact of Citizenship on Access to Pap Smears,6315032,"['Hispanic Americans', ' United States', ' cervical /vaginal smear', ' clinical research', ' disease /disorder prevention /control', ' female', ' health care service utilization', ' health services research tag', ' human subject', ' immigrant', ' interview', ' named group']",AHRQ,UNIVERSITY OF CALIFORNIA LOS ANGELES,R03,2001,32048,673201228
"Factors Associated with Mailed Return of Self-Sampling for Human Papillomavirus (HPV) Testing Project Summary/Abstract Cervical cancer disproportionately affects women who are low-income and never/underscreened (never screened or under screened) especially in Indiana, where cervical cancer incidence and mortality are higher than the US national average, and screening is lower than the US national average. Women who are low- income have structural and intrapersonal barriers to screening that may prevent them from obtaining provider- based screening. Although HPV testing is now accepted by USPTF guidelines, it is only endorsed for provider- collected sampling. Self-sampling for HPV testing, a method for women to collect their own cervico-vaginal sample, has been established as a feasible and acceptable alternative to provider-based cervical cancer screening in other countries and is supported by US pilot studies. HPV self-sampling is likely to be implemented as a screening option in the US in the future due to its comparable sensitivity to provider- collected HPV samples, acceptability, and potential to reach populations who are never/underscreeners. Self- sampling may overcome barriers to provider-based cervical cancer screening experienced by women who are low-income and never/underscreened and provide a convenient way to access screening. Studies testing mailed HPV kits, however, have demonstrated that 30-50% of women do not return a mailed HPV kit. Prior to widespread implementation, research is needed to identify characteristics of returners and non-returners of mailed HPV self-sampling kits. The purpose of this descriptive study is to identify factors associated with mailed return of HPV self-sampling kits using concepts from the Diffusion of Innovations Theory (advantages, compatibility, complexity, and self-efficacy) while controlling for sociodemographic, healthcare, and health behavior variables in a group of low-income and never/underscreened women. Data for this cross-sectional study will be collected at time of study consent from women (n=200) at a food pantry and nonadherent to cervical cancer screening using valid and reliable instruments. Self-sampling kits will be mailed to the women’s home within one week of consent, and women will have 4 weeks to return the kit to be considered “returners”. Logistic regression analyses will be used to analyze the relationship between the data collected at baseline consent (attributes of innovation-advantages, compatibility, complexity, and self- efficacy) and return of the self-sampling kit via mail (y/n). The results of this study will provide knowledge about factors associated with return of self-sampling kits to better understand the characteristics of returners and non-returners. Results of this project will help guide implementation of HPV self-sampling in populations who are low-income and never/underscreened whom self- sampling may most likely benefit. This study will provide a foundation for the applicant’s long-term goal of reducing morbidity and mortality from cervical cancer through increasing cervical cancer screening rates with an innovative technology, self-sampling for HPV testing. Project Narrative Women who are low-income and never/underscreeners are unequally burdened by cervical cancer. This study will be one of the first to identify factors associated with mailed return of a cervical cancer screening tool, self- sampling for HPV self-testing, that will provide an alternative to traditional cervical screening by removing barriers for women most at risk for cervical cancer (women who are low-income and never/underscreeners).",Factors Associated with Mailed Return of Self-Sampling for Human Papillomavirus (HPV) Testing,9835517,"['Advisory Committees', 'Affect', 'Age', 'Appointment', 'Atopobium vaginae', 'Behavior', 'Belief', 'Cervical', 'Cervical Cancer Screening', 'Characteristics', 'Clinic', 'Clinical', 'Consent', 'Country', 'Cross-Sectional Studies', 'Cytology', 'Data', 'Diffusion of Innovation', 'Failure', 'Food', 'Foundations', 'Fright', 'Future', 'Goals', 'Guidelines', 'Health behavior', 'Health system', 'Healthcare', 'Home environment', 'Human Papillomavirus', 'Incidence', 'Income', 'Indiana', 'Knowledge', 'Literature', 'Logistic Regressions', 'Low income', 'Malignant neoplasm of cervix uteri', 'Methods', 'Morbidity - disease rate', 'Netherlands', 'Nurses', 'Pain', 'Pap smear', 'Participant', 'Patients', 'Persons', 'Physicians', 'Pilot Projects', 'Population', 'Poverty', 'Preventive', 'Privacy', 'Privatization', 'Provider', 'Regression Analysis', 'Research', 'Risk', 'Sampling', 'Screening procedure', 'Self Efficacy', 'Socioeconomic Status', 'Structure', 'Testing', 'Time Study', 'United States', 'Ursidae Family', 'Woman', 'base', 'cervicovaginal', 'cost effective', 'experience', 'health belief', 'implementation research', 'improved', 'innovation', 'innovative technologies', 'instrument', 'medically underserved', 'mortality', 'prevent', 'screening', 'screening guidelines', 'sociodemographics', 'success', 'theories', 'therapy development']",NINR,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,F31,2019,32086,232986943
"Factors Associated with Mailed Return of Self-Sampling for Human Papillomavirus (HPV) Testing Project Summary/Abstract Cervical cancer disproportionately affects women who are low-income and never/underscreened (never screened or under screened) especially in Indiana, where cervical cancer incidence and mortality are higher than the US national average, and screening is lower than the US national average. Women who are low- income have structural and intrapersonal barriers to screening that may prevent them from obtaining provider- based screening. Although HPV testing is now accepted by USPTF guidelines, it is only endorsed for provider- collected sampling. Self-sampling for HPV testing, a method for women to collect their own cervico-vaginal sample, has been established as a feasible and acceptable alternative to provider-based cervical cancer screening in other countries and is supported by US pilot studies. HPV self-sampling is likely to be implemented as a screening option in the US in the future due to its comparable sensitivity to provider- collected HPV samples, acceptability, and potential to reach populations who are never/underscreeners. Self- sampling may overcome barriers to provider-based cervical cancer screening experienced by women who are low-income and never/underscreened and provide a convenient way to access screening. Studies testing mailed HPV kits, however, have demonstrated that 30-50% of women do not return a mailed HPV kit. Prior to widespread implementation, research is needed to identify characteristics of returners and non-returners of mailed HPV self-sampling kits. The purpose of this descriptive study is to identify factors associated with mailed return of HPV self-sampling kits using concepts from the Diffusion of Innovations Theory (advantages, compatibility, complexity, and self-efficacy) while controlling for sociodemographic, healthcare, and health behavior variables in a group of low-income and never/underscreened women. Data for this cross-sectional study will be collected at time of study consent from women (n=200) at a food pantry and nonadherent to cervical cancer screening using valid and reliable instruments. Self-sampling kits will be mailed to the women’s home within one week of consent, and women will have 4 weeks to return the kit to be considered “returners”. Logistic regression analyses will be used to analyze the relationship between the data collected at baseline consent (attributes of innovation-advantages, compatibility, complexity, and self- efficacy) and return of the self-sampling kit via mail (y/n). The results of this study will provide knowledge about factors associated with return of self-sampling kits to better understand the characteristics of returners and non-returners. Results of this project will help guide implementation of HPV self-sampling in populations who are low-income and never/underscreened whom self- sampling may most likely benefit. This study will provide a foundation for the applicant’s long-term goal of reducing morbidity and mortality from cervical cancer through increasing cervical cancer screening rates with an innovative technology, self-sampling for HPV testing. Project Narrative Women who are low-income and never/underscreeners are unequally burdened by cervical cancer. This study will be one of the first to identify factors associated with mailed return of a cervical cancer screening tool, self- sampling for HPV self-testing, that will provide an alternative to traditional cervical screening by removing barriers for women most at risk for cervical cancer (women who are low-income and never/underscreeners).",Factors Associated with Mailed Return of Self-Sampling for Human Papillomavirus (HPV) Testing,10025580,"['Advisory Committees', 'Affect', 'Age', 'Appointment', 'Atopobium vaginae', 'Behavior', 'Belief', 'Cervical', 'Cervical Cancer Screening', 'Characteristics', 'Clinic', 'Clinical', 'Consent', 'Country', 'Cross-Sectional Studies', 'Cytology', 'Data', 'Diffusion of Innovation', 'Failure', 'Food', 'Foundations', 'Fright', 'Future', 'Goals', 'Guidelines', 'Health behavior', 'Health system', 'Healthcare', 'Home environment', 'Human Papillomavirus', 'Incidence', 'Income', 'Indiana', 'Knowledge', 'Literature', 'Logistic Regressions', 'Low income', 'Malignant neoplasm of cervix uteri', 'Methods', 'Morbidity - disease rate', 'Netherlands', 'Nurses', 'Pain', 'Pap smear', 'Participant', 'Patients', 'Persons', 'Physicians', 'Pilot Projects', 'Population', 'Poverty', 'Preventive', 'Privacy', 'Privatization', 'Provider', 'Regression Analysis', 'Research', 'Risk', 'Sampling', 'Screening procedure', 'Self Efficacy', 'Socioeconomic Status', 'Structure', 'Testing', 'Time Study', 'United States', 'Ursidae Family', 'Woman', 'base', 'cervicovaginal', 'cost effective', 'experience', 'health belief', 'implementation research', 'improved', 'innovation', 'innovative technologies', 'instrument', 'medically underserved', 'mortality', 'prevent', 'screening', 'screening guidelines', 'sociodemographics', 'success', 'theories', 'therapy development']",NINR,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,F31,2020,32590,232986943
