Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Centroids
0,132,52099639,7403.0,0.15789473684210525,0.4780701754385965,0.4425836901820569,0.5135566606951361,342,142.09311507897397,21648709.42761459,11875211,0.38084112942966875,0.31426386391241373,0.44741839494692376,0.07440855014895792,"['depression', 'treatment', 'symptom', 'intervention', 'adolescent', 'patient', 'response', 'study', 'disorder', 'clinical', 'individual', 'data', 'health', 'mental', 'mobile']"
1,548,241991809,41301.0,0.1565,0.449725,0.4350368819001251,0.46441311809987484,2000,170.67106597810508,119018175.40601242,60718550,0.44074558981802814,0.3815199939639375,0.4999711856721188,0.0015944679458293099,"['patient', 'care', 'clinical', 'outcome', 'treatment', 'data', 'risk', 'quality', 'decision', 'model', 'trial', 'health', 'hospital', 'medical', 'support']"
2,114,38278067,20372.0,0.19047619047619047,0.5229813664596273,0.49426947414869,0.5516932587705646,483,532.2107827440711,5659303.457519854,4946588,0.14076701742436115,0.07302493372610556,0.20850910112261672,0.1526837759199138,"['prostate', 'prostate cancer', 'cancer', 'men', 'biopsy', 'image', 'patient', 'tumor', 'treatment', 'mri', 'imaging', 'data', 'risk', 'method', 'clinical']"
3,743,376432338,350775.0,0.09649793546413825,0.3397843706988836,0.3320807061119172,0.34748803528585004,6539,931.840770810716,44029611.492870055,42119094,0.09904304062081577,0.07001161275985271,0.12807446848177884,-0.0023284667891015983,"['data', 'biomedical', 'research', 'method', 'tool', 'analysis', 'computational', 'software', 'model', 'project', 'database', 'new', 'big', 'learning', 'researcher']"
4,469,239085815,57114.0,0.15078082929456113,0.4649973074851912,0.4497347921108924,0.48025982285949,1857,238.88493761120876,98954837.14950855,55782291,0.348120027044457,0.31900736535828195,0.37723268873063204,-0.00724049868834578,"['child', 'asd', 'disorder', 'exposure', 'risk', 'autism', 'intervention', 'early', 'outcome', 'study', 'youth', 'data', 'social', 'environmental', 'research']"
5,35,10031403,4504.0,0.02197802197802198,0.16373626373626377,0.12581832377386787,0.20165420369865966,91,448.9900365881024,544604.6632783002,1151257,0.012056906914065331,-0.0541202153785207,0.07823402920665136,0.16072129139143917,"['cell', 'differentiation', 'function', 'protein', 'bone', 'signaling', 'vivo', 'process', 'mutation', 'animal', 'stem', 'gene', 'domain', 'role', 'human']"
6,472,236938702,166694.0,0.0375234521575985,0.23722326454033774,0.22693067150032822,0.24751585758034725,2665,703.5321734817303,46767614.068195716,25625732,0.17912447749457033,0.1438310560818437,0.21441789890729696,0.031381655363248155,"['gene', 'regulatory', 'expression', 'genome', 'gene expression', 'human', 'cell', 'regulation', 'data', 'disease', 'chromatin', 'network', 'sequence', 'element', 'gene regulation']"
7,435,135327332,155331.0,0.008684863523573201,0.1283705541770058,0.12106134811716927,0.13567976023684233,2418,1147.8169095951732,14750397.942359762,10744557,0.08952326514279849,0.0563278034994654,0.12271872678613158,0.08811943716831237,"['protein', 'structure', 'sequence', 'protein structure', 'function', 'prediction', 'method', 'interaction', 'structural', 'mutation', 'computational', 'molecular', 'model', 'disease', 'binding']"
8,350,134380748,37026.0,0.09505703422053231,0.39893536121672996,0.3821373228816942,0.4157333995517657,1315,275.53053953829755,20330042.560280185,16463669,0.13744335834197888,0.09890577960738288,0.17598093707657486,0.017697151622799123,"['image', 'cad', 'lesion', 'imaging', 'detection', 'analysis', 'image analysis', 'radiologist', 'diagnosis', 'cancer', 'software', 'clinical', 'technique', 'algorithm', 'segmentation']"
9,227,89389418,36081.0,0.09871534820824882,0.3902298850574713,0.374198839845923,0.4062609302690196,1479,403.63838144689566,5577331.152383854,5217525,0.025630919774726563,-0.004305992942459109,0.05556783249191223,0.021597708878247506,"['medical', 'safety', 'patient', 'review', 'event', 'information', 'data', 'record', 'clinical', 'error', 'medical record', 'method', 'adverse', 'language', 'natural language']"
10,171,58610583,11272.0,0.12966601178781925,0.47062868369351674,0.44218213071820783,0.49907523666882564,509,192.32021629950344,12737604.709661547,7468741,0.20036324768458919,0.15473306509651577,0.2459934302726626,0.12461379362830625,"['alcohol', 'alcohol use', 'prenatal', 'exposure', 'brain', 'fetal', 'facial', 'use', 'disorder', 'adolescent', 'consortium', 'risk', 'effect', 'spectrum', 'project']"
11,131,113320116,55382.0,0.013824884792626729,0.22972350230414748,0.20552882951073545,0.2539181750975595,434,488.72170233217906,32324782.10675837,13977690,0.25617514569335265,0.20343933789806418,0.3089109534886411,0.11455290797442216,"['circuit', 'neural', 'neural circuit', 'brain', 'behavior', 'neuron', 'motor', 'behavioral', 'activity', 'function', 'neuronal', 'movement', 'connectivity', 'disorder', 'dynamic']"
12,295,243159236,115520.0,0.15659722222222222,0.4478645833333333,0.43562839624507776,0.4601007704215888,2880,475.0796305347826,136898355.78812838,56230566,0.4229363201286499,0.36226669709451165,0.48360594316278815,0.1448761737395223,"['ad', 'alzheimer', 'disease', 'alzheimer disease', 'dementia', 'cognitive', 'disease ad', 'alzheimer s', 's disease', 'brain', 's', 'data', 'risk', 'imaging', 'clinical']"
13,292,131008263,118990.0,0.17994241842610365,0.47228886756238003,0.45768403375173966,0.4868937013730204,2084,908.2633207647368,26076294.880060423,16680063,0.16312860560921355,0.11300516094286989,0.21325205027555721,0.04550513382488197,"['variant', 'genetic', 'gene', 'genome', 'gwas', 'disease', 'variation', 'genetic variant', 'sequencing', 'mutation', 'human', 'data', 'aim', 'trait', 'method']"
