Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Years of Availability,Citations per thousand dollars of funding per year,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Description,Category,Clinical/Technical,Centroids,%R01,%U01,%R44,%U24,%R21,%U54
0,2,118435,0.0,nan,nan,nan,nan,0,0.0,0,nan,130.408922837484,0,-0.2633326968134015,-0.4938104308701317,-0.03285496275667127,1.0, , , ,"['dynamic', 'chest', 'digital', 'contrast', 'reduced', 'new technique', 'detection', 'scatter', 'subtraction', 'phantom', 'clinical study', 'characteristic', 'demonstrate', 'performed', 'preliminary']",0.0,0.0,0.0,0.0,0.0,0.0
1,3,2450012,0.0,nan,nan,nan,nan,0,0.0,0,nan,139.54793932944182,0,-0.4207955252504413,-0.5644240522204801,-0.2771669982804025,0.6746757177715709, , , ,"['biomedical', 'collaborative', 'university', 'activity', 'consultation', 'national', 'biomedical research', 'representing', 'instrument', 'electrophoresis', 'researcher', 'pathology', 'mathematical', 'computer science', 'communication']",0.0,0.0,0.0,0.0,0.0,0.0
2,3,2551524,0.0,nan,nan,nan,nan,0,0.0,0,nan,164.76466383065355,0,-0.41411350623597887,-0.5609395696044491,-0.2672874428675086,1.0, , , ,"['acid', 'sequence', 'secondary structure', 'protein sequence', 'collaborative', 'contain', 'secondary', 'involve', 'oncology', 'power', 'virus', 'biochemical', 'genetics', 'error', 'correlation']",0.0,0.0,0.0,0.0,0.0,0.0
3,3,289093,0.0,nan,nan,nan,nan,0,0.0,0,nan,14.525992312224895,0,-0.42700499851728835,-0.5710167827094649,-0.2829932143251118,1.0, , , ,"['cervical', 'nuclear', 'dna', 'antigen', 'demonstrate', 'finding', 'accuracy', 'carcinogenesis', 'infection', 'morphologic', 'carcinoma', 'examination', 'degree', 'increased', 'lesion']",1.0,0.0,0.0,0.0,0.0,0.0
4,3,460371,0.0,nan,nan,nan,nan,0,0.0,0,nan,18.78561674163844,0,-0.4375212594978876,-0.5873321012137531,-0.28771041778202205,0.5093360200007252, , , ,"['ultrasound', 'tumor', 'hyperthermia', 'temperature', 'evaluate', 'transducer', 'power', 'animal', 'device', 'distribution', 'unit', 'feedback', 'achieved', 'rate', 'purpose']",1.0,0.0,0.0,0.0,0.0,0.0
5,4,545402,0.0,nan,nan,nan,nan,0,0.0,0,nan,1155.7496169060198,0,-0.2259439109299549,-0.4954041574626119,0.043516335602702155,0.45690564895142627, , , ,"['receptor', 'concentration', 'brain', 'assay', 'regulation', 'location', 'tumor', 'examine', 'contain', 'difference', 'conducted', 'population', 'distribution', 'recent', 'binding']",0.5,0.0,0.25,0.0,0.0,0.0
6,3,305823,0.0,nan,nan,nan,nan,0,0.0,0,nan,28.903196101607573,0,-0.39439237403298394,-0.5480827889418576,-0.24070195912411035,1.0, , , ,"['tumor', 'evolution', 'malignant', 'vitro', 'ass', 'chromosome', 'breast', 'lung', 'directed', 'selection', 'emphasis', 'formation', 'sample', 'lesion', 'characterize']",1.0,0.0,0.0,0.0,0.0,0.0
7,3,953083,24,0.0,0.25,nan,nan,1,25.18143750334441,39,0.0006456778847011387,56.34703623934371,0,-0.4188399405899637,-0.5628918968907684,-0.27478798428915907,1.0, , , ,"['reasoning', 'heuristic', 'physician', 'heart', 'qualitative', 'clinically', 'methodology', 'build', 'case', 'state', 'value', 'dependency', 'research program', 'consistent', 'consequence']",1.0,0.0,0.0,0.0,0.0,0.0
8,3,1426726,0.0,nan,nan,nan,nan,0,0.0,0,nan,40.00103607311458,0,-0.4568195125661185,-0.5977384986836008,-0.3159005264486362,1.0, , , ,"['computer resource', 'biology', 'molecular biology', 'genetics', 'gene', 'sequence', 'evolution', 'rna', 'protein sequence', 'regulation', 'research program', 'dna', 'national', 'coupled', 'course']",0.0,0.0,0.0,0.0,0.0,0.0
9,3,579088,0.0,nan,nan,nan,nan,0,0.0,0,nan,14.71763679425728,0,-0.46198309142056815,-0.595188129593937,-0.32877805324719933,1.0, , , ,"['ct', 'intelligent', 'scan', 'scanner', 'object', 'form', 'ability', 'generated', 'explanation', 'automatic', 'training', 'aided', 'local', 'establish', 'tomography']",1.0,0.0,0.0,0.0,0.0,0.0
10,165,29709488,4114.0,0.07017543859649122,0.2710526315789474,0.20184661898434736,0.3402586441735474,57,138.47428134742677,2024,6.841614691078398e-05,2580.8474732981795,0,-0.3985724662563039,-0.5569327725731796,-0.24021215993942815,-0.07156957178185616, , , ,"['sequence', 'signal', 'dna', 'display', 'chemical', 'digital', 'coronary', 'planning', 'reasoning', 'dynamic', 'therapeutic', 'device', 'implement', 'database', 'lung']",0.6181818181818182,0.0,0.07272727272727272,0.0,0.0,0.0
11,5,995680,0.0,nan,nan,nan,nan,0,0.0,0,nan,511.76370785169104,0,-0.3053293378610184,-0.5328766318406084,-0.07778204388142837,0.7255876305949511, , , ,"['caduceus', 'intend', 'provides', 'protocol', 'mode', 'period', 'permit', 'accuracy', 'specifically', 'interface', 'specific aim', 'state', 'value', 'overall', 'distribution']",0.4,0.0,0.0,0.0,0.0,0.0
12,3,154370,0.0,nan,nan,nan,nan,0,0.0,0,nan,2.015697790700058,0,-0.49638950702186335,-0.6190416862485542,-0.37373732779517255,1.0, , , ,"['physician', 'reasoning', 'stroke', 'comprehensive', 'sophisticated', 'clinician', 'utilizing', 'proposed research', 'education', 'information available', 'spatial', 'record', 'combine', 'performed', 'assessment']",0.0,0.0,0.0,0.0,0.0,0.0
13,3,809631,0.0,nan,nan,nan,nan,0,0.0,0,nan,15.042746701401414,0,-0.4780279549595682,-0.6049128924997602,-0.3511430174193762,1.0, , , ,"['shear', 'shear stress', 'stress', 'fluid shear', 'vascular', 'fluid', 'endothelium', 'endothelial', 'growth', 'controlled', 'structure function', 'vitro', 'condition', 'migration', 'organization']",1.0,0.0,0.0,0.0,0.0,0.0
14,3,197471,25.0,0.0,0.11666666666666665,-0.013997598969336986,0.24733093230267028,3,126.60086797555086,109,0.001161475852986705,6.413614745413869,0,-0.44952030281641536,-0.5840215491743754,-0.3150190564584553,1.0, , , ,"['gait', 'gait analysis', 'cycle', 'recognition technique', 'reliability', 'selection', 'representing', 'manipulation', 'effectiveness', 'statistical', 'criterion', 'generated', 'computer aided', 'clinically', 'improvement']",1.0,0.0,0.0,0.0,0.0,0.0
15,3,2050524,0.0,nan,nan,nan,nan,0,0.0,0,nan,568.2862096553632,0,-0.33687280171024225,-0.6129499455607917,-0.060795657859692764,1.0, , , ,"['computer resource', 'molecular biology', 'national', 'biology', 'electrophoresis', 'emphasis', 'employed', 'endothelial', 'establish', 'endothelial cell', 'endothelium', 'entry', 'environment', 'epithelial', 'epithelial cell']",0.0,0.0,0.0,0.0,0.0,0.0
16,2,286039,0.0,nan,nan,nan,nan,0,0.0,0,nan,299.98485615628937,0,-0.2660786626347449,-0.4972774068993009,-0.03487991837018889,1.0, , , ,"['child', 'language', 'acquisition', 'construction', 'constraint', 'learning', 'spatial', 'speech', 'movement', 'cognitive', 'error', 'event', 'assessing', 'correlate', 'consistent']",1.0,0.0,0.0,0.0,0.0,0.0
17,3,169099,0.0,nan,nan,nan,nan,0,0.0,0,nan,11.597320703129201,0,-0.4109732899591007,-0.5594735112237964,-0.262473068694405,1.0, , , ,"['decision support', 'care', 'clinical setting', 'medical knowledge', 'impact', 'cost', 'setting', 'reliability', 'entry', 'representing', 'coupled', 'perception', 'module', 'examination', 'given']",0.0,0.0,0.0,0.0,0.0,0.0
18,3,606080,0.0,nan,nan,nan,nan,0,0.0,0,nan,32.58280480649553,0,-0.42362061912678695,-0.5664289623437204,-0.28081227590985347,1.0, , , ,"['bspm', 'map', 'surface', 'correlation', 'body', 'plus', 'optimal', 'cardiac', 'utilizing', 'instrumentation', 'interpretation', 'child', 'myocardial', 'angiography', 'clinical study']",1.0,0.0,0.0,0.0,0.0,0.0
19,3,256684,0.0,nan,nan,nan,nan,0,0.0,0,nan,14.432442951847749,0,-0.42160934619459484,-0.5685109595313697,-0.27470773285782,0.6078433359347094, , , ,"['mass', 'spectrum', 'ion', 'spectrometry', 'mass spectrometry', 'determination', 'compound', 'specie', 'organic', 'molecule', 'instrument', 'intelligent', 'mode', 'extend', 'database']",1.0,0.0,0.0,0.0,0.0,0.0
20,3,339392,0.0,nan,nan,nan,nan,0,0.0,0,nan,8.29682441761576,0,-0.4639734280464228,-0.5964804415697996,-0.3314664145230459,1.0, , , ,"['chromosome', 'nucleus', 'light', 'fashion', 'high', 'electron', 'microscopy', 'computational', 'gene', 'resolution', 'band', 'cycle', 'reconstruction', 'nuclear', 'determined']",1.0,0.0,0.0,0.0,0.0,0.0
21,3,1197640,0.0,nan,nan,nan,nan,0,0.0,0,nan,3.1988095687333082,0,-0.5756383953885086,-0.6999272978673322,-0.45134949290968496,1.0, , , ,"['microbeam', 'laser', 'instrumentation', 'facility', 'researcher', 'training', 'national', 'biology', 'clinician', 'science', 'evolution', 'expected', 'electron', 'electron microscopy', 'electrophoresis']",0.0,0.0,0.0,0.0,0.0,0.0
22,3,1175059,0.0,nan,nan,nan,nan,0,0.0,0,nan,18.44053789886818,0,-0.486519116775214,-0.6146603252352129,-0.3583779083152151,1.0, , , ,"['biomedical research', 'biomedical', 'respiratory', 'automation', 'physiology', 'advance', 'allows', 'neural', 'laser', 'muscle', 'school', 'construction', 'growth', 'complexity', 'fashion']",0.0,0.0,0.0,0.0,0.0,0.0
23,3,715469,0.0,nan,nan,nan,nan,0,0.0,0,nan,30.452005558265476,0,-0.4356519746346545,-0.5743570184966574,-0.29694693077265155,1.0, , , ,"['breast', 'acoustic', 'ultrasound', 'instrument', 'obtain', 'scanner', 'scatter', 'preparation', 'classification', 'parallel', 'combine', 'necessary', 'combined', 'derived', 'tomography']",1.0,0.0,0.0,0.0,0.0,0.0
24,2,365273,0.0,nan,nan,nan,nan,0,0.0,0,nan,409.5439001256364,0,-0.2623172022386662,-0.4927344612342637,-0.031899943243068746,1.0, , , ,"['rule', 'structured', 'physician', 'ocular', 'angiogram', 'automated analysis', 'automatically', 'statistical', 'significance', 'interpretation', 'blood vessel', 'vessel', 'facility', 'characteristic', 'spectral']",1.0,0.0,0.0,0.0,0.0,0.0
25,3,476625,0.0,nan,nan,nan,nan,0,0.0,0,nan,34.84727602144328,0,-0.40746247099949334,-0.5654392014277805,-0.24948574057120623,1.0, , , ,"['surface', 'receptor', 'sample', 'mass', 'insulin', 'spectrometry', 'carried', 'mass spectrometry', 'preparation', 'biomedical', 'ion', 'plasma', 'biomedical research', 'determined', 'matrix']",1.0,0.0,0.0,0.0,0.0,0.0
26,10,1564863,122.0,0.0,0.21250000000000002,0.0031757546925288427,0.4218242453074712,4,77.96209636242916,134,0.0005818066892718595,1941.7409968149727,0,-0.25586893589963544,-0.5424497399825918,0.030711868183321,0.021307297337552957, , , ,"['matrix', 'fibronectin', 'investigation', 'automated analysis', 'secreted', 'hepatocytes', 'cirrhotic', 'cellular', 'liver', 'consultation', 'pathology', 'injury', 'task', 'rat', 'period']",0.5,0.0,0.0,0.0,0.0,0.0
