text,title,id,project_number,terms,administration,organization,mechanism,year,funding,score
"Ab-Initio Geometry Optimization of Large Molecules    DESCRIPTION (provided by applicant):  While density-functional calculations of the energy are now feasible for biomolecules, the use of density-functional geometry optimizers is still confined to relatively small molecules containing no more than thirty atoms. The key limitation of conventional density-functional geometry optimizers is that the cost of the geometry optimization scales at least quadratically with the number of atoms in the molecule. In contrast the energy at a fixed geometry can be evaluated for a cost which scales linearly with molecule size, enabling very large molecules to be treated. This proposal is based on a radical change in the algorithm for density-functional geometry optimization, potentially reducing the total cost from quadratic to linear in molecule size and enabling a quantum leap in the size of molecules that can be optimized. The proposed algorithm resembles a conventional self-consistent calculation of the energy at a fixed geometry but at convergence the proposed algorithm yields not only the density but also the optimized geometry. This is achieved by simultaneous optimization of the wavefunction and the geometry via a modified self-consistent-field procedure. The proposed algorithm will be implemented in the QChem software package and, if successful, widely distributed through QChem Inc. and Spartan Inc.           n/a",Ab-Initio Geometry Optimization of Large Molecules,6583907,R43GM067335,"['artificial intelligence', ' chemical models', ' computer program /software', ' computer simulation', ' computer system design /evaluation', ' mathematics', ' molecular dynamics', ' molecular size', ' quantum chemistry']",NIGMS,"Q-CHEM, INC.",R43,2003,99639,0.242287423
"Machine Learning in Chemistry and Biology    DESCRIPTION (provided by applicant): Machine learning has broad applicability in the fields of chemistry and biology. This research effort is focused on empirical derivation of functions that are useful in the context of predicting aspects of molecular interaction between proteins and ligands. The characteristics of this problem offer unique challenges when approached from the perspective of machine learning, key among them being that the configuration in which molecules interact is not generally known. In the case of small molecule protein interactions, where it is possible to represent molecules as 3D objects, this is manifested in terms of hidden variables in the relative conformation and alignment of protein and ligand. Most machine learning tasks do not embed hidden variables in this fashion, but the problem is not insurmountable. We have implemented a number of methods which demonstrate that the problem of hidden variables is tractable, both methodologically in model induction and scoring function optimization as well as from the perspective of computational complexity in search. In this work, we will develop novel methods and refine existing methods in 3 problem areas: 1) Developing scoring functions for small molecule protein interactions with a known protein structure (the docking problem); 2) Developing quantitative models of small molecule activity against proteins with no known structure (the 3D QSAR problem); and 3) Developing methods for search and optimization that improve both model and scoring function induction and high-throughput application to large libraries of small molecules. The goal is to address the problem of prediction in a quantifiable way, which will allow both practical improvements in applications of the methods, and will also provide insight into the mechanistic aspects of the underlying physical molecular interactions.    All methods and data will be made widely available to both academic and industrial investigators.             n/a",Machine Learning in Chemistry and Biology,7931152,R01GM070481,"['Active Sites', 'Address', 'Algorithms', 'Area', 'Benchmarking', 'Binding', 'Binding Sites', 'Biology', 'Categories', 'Cations', 'Characteristics', 'Chemicals', 'Chemistry', 'Covalent Interaction', 'Data', 'Derivation procedure', 'Development', 'Docking', 'Goals', 'Ligands', 'Literature', 'Machine Learning', 'Methodology', 'Methods', 'Modeling', 'Molecular', 'Molecular Conformation', 'Proteins', 'Publishing', 'Quantitative Structure-Activity Relationship', 'Relative (related person)', 'Research', 'Research Personnel', 'Source', 'Speed', 'Structure', 'Surface', 'System', 'Techniques', 'Testing', 'Work', 'abstracting', 'base', 'flexibility', 'heuristics', 'improved', 'insight', 'novel', 'novel strategies', 'physical model', 'predictive modeling', 'protein structure', 'scaffold', 'small molecule', 'small molecule libraries', 'three dimensional structure']",NIGMS,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",R01,2009,235562,0.236696742
"Machine Learning in Chemistry and Biology    DESCRIPTION (provided by applicant): Machine learning has broad applicability in the fields of chemistry and biology. This research effort is focused on empirical derivation of functions that are useful in the context of predicting aspects of molecular interaction between proteins and ligands. The characteristics of this problem offer unique challenges when approached from the perspective of machine learning, key among them being that the configuration in which molecules interact is not generally known. In the case of small molecule protein interactions, where it is possible to represent molecules as 3D objects, this is manifested in terms of hidden variables in the relative conformation and alignment of protein and ligand. Most machine learning tasks do not embed hidden variables in this fashion, but the problem is not insurmountable. We have implemented a number of methods which demonstrate that the problem of hidden variables is tractable, both methodologically in model induction and scoring function optimization as well as from the perspective of computational complexity in search. In this work, we will develop novel methods and refine existing methods in 3 problem areas: 1) Developing scoring functions for small molecule protein interactions with a known protein structure (the docking problem); 2) Developing quantitative models of small molecule activity against proteins with no known structure (the 3D QSAR problem); and 3) Developing methods for search and optimization that improve both model and scoring function induction and high-throughput application to large libraries of small molecules. The goal is to address the problem of prediction in a quantifiable way, which will allow both practical improvements in applications of the methods, and will also provide insight into the mechanistic aspects of the underlying physical molecular interactions.    All methods and data will be made widely available to both academic and industrial investigators.             n/a",Machine Learning in Chemistry and Biology,7448703,R01GM070481,"['Active Sites', 'Address', 'Algorithms', 'Area', 'Benchmarking', 'Binding', 'Binding Sites', 'Biology', 'Categories', 'Cations', 'Characteristics', 'Chemicals', 'Chemistry', 'Covalent Interaction', 'Data', 'Derivation procedure', 'Development', 'Docking', 'Facility Construction Funding Category', 'Goals', 'Ligands', 'Literature', 'Machine Learning', 'Methodology', 'Methods', 'Modeling', 'Molecular', 'Molecular Conformation', 'Numbers', 'Pliability', 'Proteins', 'Publishing', 'Quantitative Structure-Activity Relationship', 'Relative (related person)', 'Research', 'Research Personnel', 'Score', 'Source', 'Speed', 'Structure', 'Surface', 'System', 'Techniques', 'Testing', 'Work', 'abstracting', 'base', 'heuristics', 'improved', 'insight', 'novel', 'novel strategies', 'physical model', 'predictive modeling', 'protein structure', 'scaffold', 'small molecule', 'small molecule libraries', 'three dimensional structure']",NIGMS,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",R01,2008,265474,0.236696742
"Machine Learning in Chemistry and Biology    DESCRIPTION (provided by applicant): Machine learning has broad applicability in the fields of chemistry and biology. This research effort is focused on empirical derivation of functions that are useful in the context of predicting aspects of molecular interaction between proteins and ligands. The characteristics of this problem offer unique challenges when approached from the perspective of machine learning, key among them being that the configuration in which molecules interact is not generally known. In the case of small molecule protein interactions, where it is possible to represent molecules as 3D objects, this is manifested in terms of hidden variables in the relative conformation and alignment of protein and ligand. Most machine learning tasks do not embed hidden variables in this fashion, but the problem is not insurmountable. We have implemented a number of methods which demonstrate that the problem of hidden variables is tractable, both methodologically in model induction and scoring function optimization as well as from the perspective of computational complexity in search. In this work, we will develop novel methods and refine existing methods in 3 problem areas: 1) Developing scoring functions for small molecule protein interactions with a known protein structure (the docking problem); 2) Developing quantitative models of small molecule activity against proteins with no known structure (the 3D QSAR problem); and 3) Developing methods for search and optimization that improve both model and scoring function induction and high-throughput application to large libraries of small molecules. The goal is to address the problem of prediction in a quantifiable way, which will allow both practical improvements in applications of the methods, and will also provide insight into the mechanistic aspects of the underlying physical molecular interactions.    All methods and data will be made widely available to both academic and industrial investigators.             n/a",Machine Learning in Chemistry and Biology,7257023,R01GM070481,"['Active Sites', 'Address', 'Algorithms', 'Area', 'Benchmarking', 'Binding', 'Binding Sites', 'Biology', 'Categories', 'Cations', 'Characteristics', 'Chemicals', 'Chemistry', 'Covalent Interaction', 'Data', 'Derivation procedure', 'Development', 'Docking', 'Facility Construction Funding Category', 'Goals', 'Ligands', 'Literature', 'Machine Learning', 'Methodology', 'Methods', 'Modeling', 'Molecular', 'Molecular Conformation', 'Numbers', 'Pliability', 'Proteins', 'Publishing', 'Quantitative Structure-Activity Relationship', 'Relative (related person)', 'Research', 'Research Personnel', 'Score', 'Source', 'Speed', 'Structure', 'Surface', 'System', 'Techniques', 'Testing', 'Work', 'abstracting', 'base', 'heuristics', 'improved', 'insight', 'novel', 'novel strategies', 'physical model', 'predictive modeling', 'protein structure', 'scaffold', 'small molecule', 'small molecule libraries', 'three dimensional structure']",NIGMS,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,R01,2007,265474,0.236696742
"Machine Learning in Chemistry and Biology    DESCRIPTION (provided by applicant): Machine learning has broad applicability in the fields of chemistry and biology. This research effort is focused on empirical derivation of functions that are useful in the context of predicting aspects of molecular interaction between proteins and ligands. The characteristics of this problem offer unique challenges when approached from the perspective of machine learning, key among them being that the configuration in which molecules interact is not generally known. In the case of small molecule protein interactions, where it is possible to represent molecules as 3D objects, this is manifested in terms of hidden variables in the relative conformation and alignment of protein and ligand. Most machine learning tasks do not embed hidden variables in this fashion, but the problem is not insurmountable. We have implemented a number of methods which demonstrate that the problem of hidden variables is tractable, both methodologically in model induction and scoring function optimization as well as from the perspective of computational complexity in search. In this work, we will develop novel methods and refine existing methods in 3 problem areas: 1) Developing scoring functions for small molecule protein interactions with a known protein structure (the docking problem); 2) Developing quantitative models of small molecule activity against proteins with no known structure (the 3D QSAR problem); and 3) Developing methods for search and optimization that improve both model and scoring function induction and high-throughput application to large libraries of small molecules. The goal is to address the problem of prediction in a quantifiable way, which will allow both practical improvements in applications of the methods, and will also provide insight into the mechanistic aspects of the underlying physical molecular interactions.    All methods and data will be made widely available to both academic and industrial investigators.             n/a",Machine Learning in Chemistry and Biology,7087989,R01GM070481,"['artificial intelligence', 'computational biology', 'computer program /software', 'computer system design /evaluation', 'high throughput technology', 'intermolecular interaction', 'ligands', 'method development', 'molecular dynamics', 'problem solving', 'protein protein interaction', 'protein structure', 'small molecule']",NIGMS,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,R01,2006,273403,0.236696742
"Machine Learning in Chemistry and Biology    DESCRIPTION (provided by applicant): Machine learning has broad applicability in the fields of chemistry and biology. This research effort is focused on empirical derivation of functions that are useful in the context of predicting aspects of molecular interaction between proteins and ligands. The characteristics of this problem offer unique challenges when approached from the perspective of machine learning, key among them being that the configuration in which molecules interact is not generally known. In the case of small molecule protein interactions, where it is possible to represent molecules as 3D objects, this is manifested in terms of hidden variables in the relative conformation and alignment of protein and ligand. Most machine learning tasks do not embed hidden variables in this fashion, but the problem is not insurmountable. We have implemented a number of methods which demonstrate that the problem of hidden variables is tractable, both methodologically in model induction and scoring function optimization as well as from the perspective of computational complexity in search. In this work, we will develop novel methods and refine existing methods in 3 problem areas: 1) Developing scoring functions for small molecule protein interactions with a known protein structure (the docking problem); 2) Developing quantitative models of small molecule activity against proteins with no known structure (the 3D QSAR problem); and 3) Developing methods for search and optimization that improve both model and scoring function induction and high-throughput application to large libraries of small molecules. The goal is to address the problem of prediction in a quantifiable way, which will allow both practical improvements in applications of the methods, and will also provide insight into the mechanistic aspects of the underlying physical molecular interactions.    All methods and data will be made widely available to both academic and industrial investigators.             n/a",Machine Learning in Chemistry and Biology,6965574,R01GM070481,"['artificial intelligence', 'computational biology', 'computer program /software', 'computer system design /evaluation', 'high throughput technology', 'intermolecular interaction', 'ligands', 'method development', 'molecular dynamics', 'problem solving', 'protein protein interaction', 'protein structure', 'small molecule']",NIGMS,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,R01,2005,279983,0.236696742
"Reconstruction of heterogeneous and small macromolecules by cyro-EM PROJECT SUMMARY Single-particle electron cryomicroscopy (cryo-EM) has recently joined X-ray crystallography and NMR spectroscopy as a high-resolution structural method for biological macromolecules. In addition, cryo-EM produces images of individual molecules, and therefore has the potential to resolve conformational changes. The proposal aims to develop new algorithms and software for extending the application of cryo-EM to molecules that are either too small or too flexible to be mapped by existing computational tools for cryo-EM. This extension requires solving two of the most challenging computational problems posed by cryo-EM. First, mapping the structural variability of macromolecules is widely recognized as the main computational challenge in cryo-EM. Structural variations are of great significance to biologists, as they provide insight into the functioning of molecular machines. Existing computational tools are limited to a small number of distinct conformations, and therefore are incapable of tackling highly mobile biomolecules with multiple, continuous spectra of conformational changes. The first area of investigation in this project is the development of a computational framework to analyze continuous variability. The proposed approach is based on a new mathematical representation of continuously changing structures and its efficient estimation using Markov chain Monte Carlo (MCMC) algorithms. MCMC algorithms have found great success in many other scientific disciplines, yet they have been mostly overlooked for cryo-EM single particle analysis. Second, a major limiting factor for present cryo-EM studies is the molecule size. Images of small molecules (below ~50kDa) have too little signal to allow existing methods to provide valid 3-D reconstructions. It is commonly believed that cryo-EM cannot be used for molecules that are too small to be reliably detected and picked from micrographs. Challenging that widespread belief, the second area of investigation focuses on developing a groundbreaking approach for reconstructing small molecules directly from micrographs without particle picking. The new approach is based on autocorrelation analysis and completely bypasses particle picking and orientation assignment and requires just one pass over the data. The single-pass approach opens new possibilities for real-time processing during data acquisition. PROJECT NARRATIVE Determining structures of proteins and other large molecules is an essential step in the basic understanding of biological processes, and a first step in rational drug design. We propose to develop new, faster and more reliable computer algorithms to significantly increase the power of structure-determination using electron cryomicroscopy (cryo-EM). Importantly, our methods will broaden the application of cryo-EM to molecules that are either too small or too flexible to be mapped by existing techniques.",Reconstruction of heterogeneous and small macromolecules by cyro-EM,9943364,R01GM136780,"['3-Dimensional', 'Algorithmic Software', 'Algorithms', 'Area', 'Belief', 'Biological', 'Biological Process', 'Bypass', 'Collaborations', 'Complex', 'Computational algorithm', 'Computer software', 'Cryoelectron Microscopy', 'Crystallization', 'Data', 'Data Set', 'Detection', 'Development', 'Diffusion', 'Dimensions', 'Discipline', 'Drug Design', 'Fostering', 'G-Protein-Coupled Receptors', 'Heterogeneity', 'Human Genome', 'Image', 'Individual', 'Institution', 'Investigation', 'Ion Channel', 'Ion Pumps', 'Machine Learning', 'Maps', 'Markov Chains', 'Markov chain Monte Carlo methodology', 'Mathematics', 'Methods', 'Modeling', 'Molecular Conformation', 'Molecular Machines', 'Molecular Motors', 'Molecular Weight', 'Motion', 'NMR Spectroscopy', 'Names', 'Noise', 'Particle Size', 'Phase', 'Polymerase', 'Preparation', 'Proteins', 'Pythons', 'Research', 'Resolution', 'Ribosomes', 'Roentgen Rays', 'Sampling', 'Signal Transduction', 'Spliceosomes', 'Structural Protein', 'Structure', 'Techniques', 'Time', 'Uncertainty', 'Update', 'Variant', 'Work', 'X-Ray Crystallography', 'base', 'computer framework', 'computerized data processing', 'computerized tools', 'data acquisition', 'expectation', 'flexibility', 'high dimensionality', 'improved', 'insight', 'interest', 'macromolecule', 'molecular mass', 'novel strategies', 'open source', 'particle', 'programs', 'protein complex', 'protein structure', 'receptor', 'reconstruction', 'small molecule', 'statistics', 'success', 'theories', 'three dimensional structure']",NIGMS,PRINCETON UNIVERSITY,R01,2020,328440,0.220882232
"Systematic Discovery of Bioactivation-Associated Structural Alerts Modified Project Summary/Abstract Section Adverse drug reactions (ADRs) are dangerous and expensive. ADRS driven by immune-mediated hypersensitivity (including rashes, hepatotoxicity, and Steven-Johnson syndrome) are the most difficult to predict and occasionally can be severe as well as fatal. Hypersensitivity-driven ADRs are the leading cause of drug withdrawal and termination of clinical development. Yet a large proportion of drugs are not associated with hypersensitivity-driven ADRs, offering hope that new medicines could avoid these ADRs entirely if reliable models of bioactivation existed. Accurate prediction and identification of molecules prone to ADRs would revolutionize drug development by screening out ADR-prone candidates early, before exposure to patients, and guiding drug modifications to reduce ADR risk. Small molecules are not intrinsically immunogenic and instead, involve bioactivation into reactive metabolite is that then covalently modify proteins to create immunogenic antigens. “Structural alerts” are molecular substructures prone to bioactivation, and they are often used to identify small molecules prone to bioactivation, and at risk of bioactivation-mediated ADRs. Currently, bioactivation relevant alerts are defined by experts, and they have important limitations that this study overcomes. It is now possible to predict metabolism and reactivity and toxicity using machine learning approaches. Building on this foundation, this proposal systematically discovers new structural alerts by explicitly modeling the impact of metabolism on reactivity and hence the potential to form ADR-relevant adducts. We hypothesize that (1) known bioactivation reactions, (2) molecule citation data, and (3) new substructure mining algorithms can be used to identify emerging structural alerts. Aim 1. We will test this hypothesis by using a computational approach to systematically mine structural alerts from databases of known metabolism and reactivity reactions. Aim 2. We will computationally and experimentally validate structural alerts and assess their structural contingencies. Structural alerts are only conditionally bioactivated, depending on the precise molecule they appear. Newly proposed structural alerts, moreover, are most useful when there is experimental evidence that they in fact can be bioactivated.  PubHlthRel: Structural alerts discovered in this study will help scientists avoid toxic molecules in drug development, and better understand why medicines on the market become toxic. Overcoming a fundamental limitation with structural alerts, machine learning models of bioactivation will clarify in which molecules alerts are and are not bioactivated. This knowledge will help scientists make safer medicines in the future, modify existing medicines to make them safer, and reduce ADRs by using existing medicines more safely. Modified Public Health Relevance Section  Some medicines cause dangerous and expensive Adverse Drug Reactions (ADRs), and many of these ADRs are caused by bioactivation. Structural alerts are substructures prone to bioactivation, and scientists use them to identify molecules prone to bioactivation mediated ADRs. Using a combined data-mining and experimental approach, this proposal systematically discovers emerging structural alerts of increased importance in recently studied molecules. Knowledge gained from these studies could foster improved dosing regimens for marketed drugs and enable scientists to design safer medicines.",Systematic Discovery of Bioactivation-Associated Structural Alerts,10143838,R01GM140635,"['Acute Liver Failure', 'Algorithm Design', 'Algorithms', 'Antigens', 'Binding Proteins', 'Cell Death', 'Cessation of life', 'Chemical Models', 'Chemicals', 'Dangerousness', 'Data', 'Databases', 'Dose', 'Exanthema', 'Exposure to', 'Fostering', 'Foundations', 'Future', 'Health', 'Hepatotoxicity', 'Hospitalization', 'Hypersensitivity', 'Immune', 'Immune response', 'Knowledge', 'Length of Stay', 'Machine Learning', 'Manuals', 'Mediating', 'Medicare', 'Medicine', 'Metabolic', 'Metabolic Activation', 'Metabolism', 'Mining', 'Modeling', 'Molecular', 'Patients', 'Pattern', 'Pharmaceutical Preparations', 'Physiological', 'Process', 'Proteins', 'Reaction', 'Regimen', 'Risk', 'Role', 'Scientist', 'Stevens-Johnson Syndrome', 'Structure', 'Techniques', 'Testing', 'Toxic effect', 'United States', 'adduct', 'adverse drug reaction', 'clinical development', 'clinically relevant', 'data mining', 'deep learning', 'design', 'drug development', 'drug market', 'drug modification', 'drug withdrawal', 'experimental study', 'gene function', 'immunogenic', 'immunogenicity', 'improved', 'in vitro Assay', 'interdisciplinary approach', 'liver injury', 'mathematical model', 'protein function', 'public health relevance', 'screening', 'small molecule']",NIGMS,WASHINGTON UNIVERSITY,R01,2020,395313,0.216929459
"Binding-Site Modeling with Multiple-Instance Machine-Learning DESCRIPTION (provided by applicant): This proposal is entitled ""Binding-Site Modeling with Multiple-Instance Machine-Learning."" One of the most challenging and longest studied problems in computer-aided drug design has been affinity prediction of small molecule ligands for their cognate protein targets. Despite decades of work, quantitative structure-activity re- lationship prediction (QSAR) approaches still suffer from poor accuracy, especially when predicting outside of closely related series of molecules. Even with high-quality structures of target proteins, approaches grounded in physics are also far from robust and accurate enough for reliable use in drug lead optimization. This proposal will build upon a foundation in multiple-instance machine learning applied to computer-aided drug design problems and develop a robust, accurate, and practically applicable affinity prediction methodology. The methodology requires only ligand structures and associated activity data for training, and it induces a virtual protein binding site composed of molecular fragments. The virtual binding pocket (or ""pocketmol"") is used in conjunction with a scoring function developed originally for molecular docking. The pocketmol configuration is chosen such that the optimal conformation and alignment of a ligand (based on the docking scoring function), yields scores for training ligands that are close to the known experimental values. Feasibility has been demon- strated in papers involving both membrane-bound receptors and enzymes.  However, multiple challenges remain and are the subject of the proposed research. There are three key issues. First, there exist many pocketmols that satisfy the requirements of fitting the training data, so general solutions must be developed to address the inductive bias of the learning procedure as well as model selection after the procedure. Second, since any particular model is the product of a learning process, it will have some domain of applicability, with some new molecules likely to be predicted well and others poorly. Further, the model will be better informed by learning with certain new molecules but not others. We must develop solutions for estimating confidence of predictions for new molecules as well as for identifying particular molecules that will be highly informative. Third, the operational application of these methods involves model building, guided chemical synthesis, and iterative refinement of models. Convincing validation will require application on temporal series of molecules synthesized for multiple targets of pharmaceutical interest. The proposed work will develop novel methods to address these challenges and will establish extensive validation on multiple pharmaceutically relevant temporal series of small molecules that were the subject of real-world lead-optimization exercises. PUBLIC HEALTH RELEVANCE: The dominant mode of therapeutic discovery involves the design ""me-too"" drugs that are very similar in structure and effect to existing drugs. In order to address the unmet medical needs of an aging population, novel therapeutics must be developed, and this will require much more creativity in the design process. The proposed research will develop a predictive computational framework to aid in active design of structurally novel drug molecules during the drug discovery lead optimization process.",Binding-Site Modeling with Multiple-Instance Machine-Learning,8987578,R01GM101689,"['Address', 'Affinity', 'Binding', 'Binding Proteins', 'Binding Sites', 'Biological Assay', 'Chemicals', 'Collaborations', 'Computer Assisted', 'Creativeness', 'Data', 'Data Set', 'Docking', 'Drug Design', 'Enzymes', 'Exercise', 'Foundations', 'Health', 'Knowledge', 'Lead', 'Learning', 'Ligand Binding', 'Ligands', 'Machine Learning', 'Measures', 'Medical', 'Membrane', 'Methodology', 'Methods', 'Modeling', 'Molecular', 'Molecular Conformation', 'Paper', 'Pharmaceutical Chemistry', 'Pharmaceutical Preparations', 'Pharmacologic Substance', 'Physics', 'Population', 'Procedures', 'Process', 'Proteins', 'Publishing', 'Quantitative Structure-Activity Relationship', 'Research', 'Series', 'Site', 'Structure', 'System', 'Testing', 'Therapeutic', 'Training', 'Validation', 'Work', 'aging population', 'base', 'blind', 'chemical synthesis', 'computer framework', 'design', 'design and construction', 'drug discovery', 'falls', 'interest', 'model building', 'novel', 'novel therapeutics', 'predictive modeling', 'process optimization', 'prospective', 'receptor binding', 'small molecule', 'virtual']",NIGMS,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",R01,2016,301150,0.191357294
"Binding-Site Modeling with Multiple-Instance Machine-Learning DESCRIPTION (provided by applicant): This proposal is entitled ""Binding-Site Modeling with Multiple-Instance Machine-Learning."" One of the most challenging and longest studied problems in computer-aided drug design has been affinity prediction of small molecule ligands for their cognate protein targets. Despite decades of work, quantitative structure-activity re- lationship prediction (QSAR) approaches still suffer from poor accuracy, especially when predicting outside of closely related series of molecules. Even with high-quality structures of target proteins, approaches grounded in physics are also far from robust and accurate enough for reliable use in drug lead optimization. This proposal will build upon a foundation in multiple-instance machine learning applied to computer-aided drug design problems and develop a robust, accurate, and practically applicable affinity prediction methodology. The methodology requires only ligand structures and associated activity data for training, and it induces a virtual protein binding site composed of molecular fragments. The virtual binding pocket (or ""pocketmol"") is used in conjunction with a scoring function developed originally for molecular docking. The pocketmol configuration is chosen such that the optimal conformation and alignment of a ligand (based on the docking scoring function), yields scores for training ligands that are close to the known experimental values. Feasibility has been demon- strated in papers involving both membrane-bound receptors and enzymes.  However, multiple challenges remain and are the subject of the proposed research. There are three key issues. First, there exist many pocketmols that satisfy the requirements of fitting the training data, so general solutions must be developed to address the inductive bias of the learning procedure as well as model selection after the procedure. Second, since any particular model is the product of a learning process, it will have some domain of applicability, with some new molecules likely to be predicted well and others poorly. Further, the model will be better informed by learning with certain new molecules but not others. We must develop solutions for estimating confidence of predictions for new molecules as well as for identifying particular molecules that will be highly informative. Third, the operational application of these methods involves model building, guided chemical synthesis, and iterative refinement of models. Convincing validation will require application on temporal series of molecules synthesized for multiple targets of pharmaceutical interest. The proposed work will develop novel methods to address these challenges and will establish extensive validation on multiple pharmaceutically relevant temporal series of small molecules that were the subject of real-world lead-optimization exercises. PUBLIC HEALTH RELEVANCE: The dominant mode of therapeutic discovery involves the design ""me-too"" drugs that are very similar in structure and effect to existing drugs. In order to address the unmet medical needs of an aging population, novel therapeutics must be developed, and this will require much more creativity in the design process. The proposed research will develop a predictive computational framework to aid in active design of structurally novel drug molecules during the drug discovery lead optimization process.",Binding-Site Modeling with Multiple-Instance Machine-Learning,8786087,R01GM101689,"['Address', 'Affinity', 'Binding', 'Binding Sites', 'Biological Assay', 'Chemicals', 'Collaborations', 'Computer Assisted', 'Creativeness', 'Data', 'Data Set', 'Docking', 'Drug Design', 'Enzymes', 'Exercise', 'Foundations', 'Health', 'Knowledge', 'Lead', 'Learning', 'Ligand Binding', 'Ligands', 'Machine Learning', 'Measures', 'Medical', 'Membrane', 'Methodology', 'Methods', 'Modeling', 'Molecular', 'Molecular Conformation', 'Paper', 'Pharmaceutical Chemistry', 'Pharmaceutical Preparations', 'Pharmacologic Substance', 'Physics', 'Population', 'Procedures', 'Process', 'Protein Binding', 'Proteins', 'Publishing', 'Quantitative Structure-Activity Relationship', 'Research', 'Series', 'Site', 'Solutions', 'Structure', 'System', 'Testing', 'Therapeutic', 'Training', 'Validation', 'Work', 'aging population', 'base', 'blind', 'chemical synthesis', 'computer framework', 'design', 'design and construction', 'drug discovery', 'falls', 'interest', 'model building', 'novel', 'novel therapeutics', 'predictive modeling', 'process optimization', 'prospective', 'receptor binding', 'small molecule', 'virtual']",NIGMS,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",R01,2015,300675,0.191357294
