Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Years of Availability,Citations per thousand dollars of funding per year,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Description,Category,Clinical/Technical,Centroids,%R01,%U01,%R44,%U24,%R21,%U54
0,146,66578771,1566.0,0.10714285714285714,0.33035714285714296,0.20441167993354875,0.45630260578073717,28,23.521010924037633,55,0.0004276547440734115,274786.27220573346,20366245,0.29665706163395195,0.22907938372313785,0.36423473954476604,0.08474785150700218, , , ,"['child', 'pediatric', 'developmental', 'autism', 'childhood', 'adhd', 'language', 'asd', 'deficit', 'skill', 'neurodevelopmental', 'infant', 'impairment', 'mri', 'mobile']",0.541095890410959,0.02054794520547945,0.0,0.0,0.10273972602739725,0.0
1,139,50146037,286.0,0.07142857142857142,0.27321428571428574,0.17751381510273082,0.3689147563258407,28,5.703342020826092,129,4.421195364981466e-05,500810.1038364699,11823201,0.21619862515213173,0.19219575229741676,0.2402014980068467,0.23787073896208413, , , ,"['breast', 'breast cancer', 'woman', 'tumor', 'screening', 'decision support', 'biopsy', 'biomarker', 'suite', 'reconstruction', 'invasive', 'risk prediction', 'predictor', 'diagnosed', 'negative']",0.5035971223021583,0.1223021582733813,0.014388489208633094,0.05755395683453238,0.04316546762589928,0.0
2,142,68856348,64.0,0.14285714285714285,0.43571428571428567,0.16042556183209178,0.7110030095964796,7,0.9294713103285699,22,4.2248695924025905e-05,338044.7393375951,14024469,0.2806566226957022,0.2586394104054591,0.30267383498594524,0.030772268843516963, , , ,"['emotion', 'addiction', 'emotional', 'reward', 'negative', 'cue', 'facial', 'stimulus', 'anxiety', 'mood', 'positive', 'psychopathology', 'depression', 'abuse', 'regulation']",0.5915492957746479,0.04929577464788732,0.028169014084507043,0.0,0.08450704225352113,0.0
3,230,131797372,1337.0,0.1724137931034483,0.4362068965517242,0.3119337581975796,0.5604800349058687,29,10.144360086330098,183,5.543366167393496e-05,2860882.0013676477,18459235,0.13518915576061713,0.09639828396715205,0.1739800275540822,0.07553499742124171, , , ,"['variant', 'gwas', 'genetic variant', 'rare', 'sequencing', 'trait', 'locus', 'association study', 'genetic variation', 'snp', 'mapping', 'splicing', 'genetics', 'dna', 'consortium']",0.5130434782608696,0.19130434782608696,0.004347826086956522,0.0,0.017391304347826087,0.008695652173913044
4,71,33794362,273.0,0.16666666666666666,0.625,0.3722862233790175,0.8777137766209825,6,8.078270570694603,14,0.000577019326478186,1713.4531086556574,17305963,0.6551968666102647,0.5830278923673688,0.7273658408531605,0.3290726401020529, , , ,"['suicide', 'suicidal', 'attempt', 'risk factor', 'adolescent', 'youth', 'opioid', 'ehr', 'young', 'predictor', 'psychiatric', 'emergency', 'healthcare', 'mental', 'screening']",0.5774647887323944,0.04225352112676056,0.04225352112676056,0.0,0.07042253521126761,0.0
5,84,59387422,23.0,0.0,0.1625,-0.057995948260756075,0.3829959482607561,4,0.38728739563741293,3,0.00012909579854580432,2884.755120236635,29334838,0.6521741554355868,0.5795666762770213,0.7247816345941522,0.04942004819777562, , , ,"['dementia', 'caregiver', 'alzheimer', 'alzheimer disease', 'ad', 'decline', 'person', 'pathology', 'older', 'mri', 'aging', 'home', 'cognitive impairment', 'impairment', 'older adult']",0.4166666666666667,0.0,0.15476190476190477,0.011904761904761904,0.047619047619047616,0.0
6,117,73945331,238.0,0.10714285714285714,0.3517857142857143,0.22542308127260374,0.4781483472988249,28,3.2185940177886283,49,6.568559219976792e-05,181257.6574769502,20106004,0.34357169456412295,0.3195880268282243,0.3675553623000216,0.0961846088317798, , , ,"['adolescent', 'substance', 'substance use', 'youth', 'use disorder', 'mobile', 'abuse', 'opioid', 'career', 'consortium', 'alcohol', 'child', 'addiction', 'mood', 'functioning']",0.19658119658119658,0.13675213675213677,0.017094017094017096,0.07692307692307693,0.05128205128205128,0.0
7,86,28077869,202.0,0.0625,0.321875,0.21710309288290108,0.42664690711709896,32,7.194278169757113,19,0.0003786462194609007,102638.57174943593,10050409,0.31275271134467697,0.2703374474420586,0.3551679752472953,0.0699102317337796, , , ,"['metabolite', 'metabolomics', 'metabolism', 'communication', 'metabolic', 'molecule', 'chemical', 'mass', 'thousand', 'fundamental', 'flow', 'm', 'content', 'tumor', 'play']",0.5348837209302325,0.03488372093023256,0.023255813953488372,0.0,0.06976744186046512,0.0
8,173,90201213,303.0,0.05263157894736842,0.4605263157894737,0.31490534369816037,0.606147287880787,19,3.3591566002554756,65,5.1679332311622695e-05,655877.8436857222,32856524,0.24756657154360057,0.20386074470594856,0.2912723983812526,0.17268324824902548, , , ,"['hiv', 'infection', 'men', 'viral', 'social medium', 'resistance', 'hand', 'medium', 'neurocognitive', 'sex', 'living', 'adherence', 'woman', 'stress', 'impairment']",0.4797687861271676,0.057803468208092484,0.017341040462427744,0.0,0.10404624277456648,0.0
9,218,108391712,375.0,0.0,0.325,0.20910699959286172,0.4408930004071383,24,3.459674112352797,79,4.3793343194339205e-05,118666.51528459255,35990118,0.41230889276693766,0.3827372700959723,0.441880515437903,0.013333204111506599, , , ,"['psychosis', 'neuroimaging', 'psychiatric', 'connectivity', 'youth', 'schizophrenia', 'psychiatric disorder', 'functional connectivity', 'fmri', 'deficit', 'mental', 'heterogeneity', 'illness', 'neuroscience', 'mri']",0.5,0.03669724770642202,0.0,0.0045871559633027525,0.0779816513761468,0.0
10,85,36466254,1186.0,0.19047619047619047,0.4,0.24638511544875455,0.5536148845512455,21,32.52321996111802,105,0.00030974495201064787,472311.9287471545,7301967,0.18746454849923164,0.14689667203755158,0.2280324249609117,0.10160613727633602, , , ,"['mass', 'peptide', 'proteomics', 'spectrum', 'quantification', 'serum', 'binding', 'analytical', 'mixture', 'molecule', 'assay', 'vaccine', 'library', 'bioinformatics', 'discovered']",0.6941176470588235,0.07058823529411765,0.03529411764705882,0.0,0.07058823529411765,0.0
