Cluster,Size,Total,Citations,Papers,Citations per $1mil funding,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,Bounds,Bounds,Score,Centroids
0,328,158869129,83459.0,1807,525.3317653677071,19355754.162015032,9106551,0.09770324304815964,0.058811912449499994,0.1365945736468193,0.047283191784195266,"['genetic', 'genes', 'variants', 'gene', 'genome', 'disease', 'expression', 'risk', 'gwas', 'aim']"
1,384,147342395,80749.0,2789,548.0364290264183,74092013.23739737,26355965,0.47692460415952515,0.3863094044189897,0.5675398039000606,0.0025563406216091928,"['image', 'imaging', 'images', 'mri', 'lesions', 'ct', 'ultrasound', 'motion', 'diagnostic', 'learning']"
2,178,73657559,9711.0,533,131.83982922920376,16538925.995442132,8279046,0.20545171964727835,0.16750898709626655,0.24339445219829015,0.05552684843029557,"['drug', 'drugs', 'compounds', 'effects', 'safety', 'adverse', 'drug discovery', 'discovery', 'models', 'language']"
3,490,274707027,184041.0,3148,669.9537394796967,63143120.53277752,33367978,0.21449763999861504,0.15257901499637194,0.27641626500085814,-0.010923545149753893,"['cell', 'cells', 'disease', 'diseases', 'human', 'analysis', 'models', 'new', 'throughput', 'aim']"
4,176,79086334,16001.0,503,202.32319783592447,17362992.068016935,7881722,0.1865964994039613,0.14917729946594965,0.22401569934197296,0.05819219970667526,"['tumor', 'cancer', 'tumors', 'cell', 'imaging', 'cells', 'tissue', 'image', 'therapy', 'treatment']"
5,186,78693649,14965.0,516,190.16782408959077,50241455.752877384,22070361,0.5500759548807563,0.4869484095940239,0.6132035001674887,0.0236140947426611,"['depression', 'symptoms', 'risk', 'trauma', 'psychosis', 'youth', 'disorders', 'disorder', 'treatment', 'adolescents']"
6,247,79493567,22699.0,687,285.54511838674944,9971953.474453066,4631229,0.11812149879072717,0.06645552735957178,0.16978747022188256,0.010047347212133729,"['women', 'risk', 'pregnancy', 'older', 'intervention', 'older adults', 'adults', 'factors', 'screening', 'mammography']"
7,81,43137123,3692.0,327,85.58753443061096,49590854.76739659,21378256,0.8346696324759033,0.7623129962632716,0.907026268688535,0.06295369354616645,"['substance', 'substance use', 'treatment', 'mental', 'mental health', 'disorders', 'care', 'disorder', 'drug', 'alcohol']"
8,106,37692905,7129.0,236,189.13373750311897,3484111.084857715,1072926,0.06606632858698892,0.03800704724254056,0.09412560993143729,0.20983592286194266,"['crc', 'screening', 'colorectal', 'colorectal cancer', 'cancer', 'intervention', 'risk', 'cancer screening', 'genetic', 'americans']"
9,33,18100432,1866.0,110,103.09146212642881,11454394.459102249,4888753,0.5061614117795911,0.4038983345329152,0.6084244890262669,0.13565421763270671,"['immune', 'disease', 'host', 'responses', 'vivo', 'literature', 'blood', 'cell', 'samples', 'chronic']"
10,23,14512116,999.0,81,68.83903077952245,5729847.154641971,393330,0.35702170315290277,0.1428789082049177,0.5711644981008879,0.16999243643733444,"['diabetes', 'risk', 'type', 'patients', 'americans', 'burden', 'control', 'chronic', 'ad', 'factors']"
11,229,193344736,72861.0,1837,376.8450153201999,99455065.85404716,35273270,0.3913274830490139,0.32895944611297734,0.4536955199850504,0.16975155755109156,"['ad', 'alzheimer', 'alzheimer disease', 'disease', 'dementia', 'cognitive', 'brain', 'biomarkers', 'risk', 'imaging']"
12,205,115419795,33573.0,623,290.8773144156078,37808087.47603966,14285546,0.2696058694003592,0.2314104998108682,0.3078012389898502,0.08385874107748564,"['asd', 'children', 'autism', 'behavioral', 'early', 'brain', 'infants', 'adhd', 'disorder', 'disorders']"
13,215,67044514,22239.0,807,331.7049922981021,7182009.937684696,4428472,0.08711068008963727,0.06630868874183102,0.10791267143744351,0.14143388699336226,"['breast', 'breast cancer', 'cancer', 'women', 'risk', 'mammography', 'cancer risk', 'imaging', 'screening', 'tumor']"
14,101,31706982,7271.0,300,229.31857721431828,3949483.6426470107,2426226,0.10452178133319019,0.04279390213113714,0.16624966053524326,0.19626022827047038,"['alcohol', 'fasd', 'prenatal', 'exposure', 'fetal', 'brain', 'consortium', 'spectrum', 'children', 'projects']"
15,271,63563399,24034.0,1096,378.1106797010651,21983829.578699186,8838176,0.3006281300718665,0.27652923916943034,0.32472702097430267,0.022964741479908738,"['dr', 'suicide', 'risk', 'training', 'patients', 'career', 'ards', 'disease', 'candidate', 'award']"
