Description,Number of grants,Application category,Centroids,"Total Award, 2000-2020",Total citations,Silhouette score
 ,157, ,"['compound', 'rna', 'drug', 'drug discovery', 'discovery', 'structure', 'molecule', 'model', 'target', 'therapeutic', 'computational', 'screening', 'lead', 'cell', 'assay']",65152869,24584.0,0.03894508039752187
 ,129, ,"['stroke', 'recovery', 'patient', 'rehabilitation', 'aphasia', 'risk', 'treatment', 'brain', 'language', 'cause', 'imaging', 'disability', 'motor', 'acute', 'therapy']",73732621,7220.0,0.17716253100970675
 ,383, ,"['cancer', 'tumor', 'patient', 'cell', 'melanoma', 'mutation', 'analysis', 'treatment', 'molecular', 'gene', 'model', 'tissue', 'therapy', 'computational', 'therapeutic']",235961908,262660.0,0.01835630927497094
 ,49, ,"['facial', 'expression', 'emotion', 'face', 'video', 'child', 'cue', 'social', 'image', 'hypothesis', 'analysis', 'emotional', 'recognition', 'surgery', 'head']",16404880,3499.0,0.22483830075790212
 ,202, ,"['cognitive', 'memory', 'neural', 'brain', 'deficit', 'fmri', 'pd', 'mechanism', 'cognition', 'aging', 'control', 'decline', 'dementia', 'learning', 'impairment']",71415517,62599.0,0.01894194292749296
 ,61, ,"['ontology', 'biomedical', 'annotation', 'support', 'user', 'community', 'gene', 'vaccine', 'tool', 'integration', 'collaborative', 'protein', 'organism', 'biological', 'genome']",44136921,35415.0,0.20149210826497235
 ,123, ,"['neuron', 'neuronal', 'activity', 'brain', 'function', 'cell', 'cortical', 'stimulus', 'neural', 'cortex', 'dynamic', 'response', 'sensory', 'neuroscience', 'behavior']",55344170,23583.0,0.04798561793599759
 ,117, ,"['depression', 'treatment', 'intervention', 'patient', 'response', 'individual', 'disorder', 'symptom', 'mobile', 'personalized', 'trial', 'mental', 'anxiety', 'mental health', 'treatment response']",45965726,5788.0,0.0670688525856731
 ,212, ,"['child', 'asthma', 'sepsis', 'pediatric', 'reading', 'care', 'patient', 'early', 'outcome', 'risk', 'intervention', 'learning', 'hospital', 'childhood', 'mobile']",134128128,28287.0,0.030935638977635082
 ,400, ,"['cell', 'cell type', 'type', 'cellular', 'single cell', 'human', 'tissue', 'single', 'gene', 'stem', 'disease', 'molecular', 'analysis', 'differentiation', 'function']",171605094,106784.0,0.049568226943615096
 ,273, ,"['biomedical', 'text', 'information', 'knowledge', 'literature', 'database', 'computational', 'language', 'review', 'extraction', 'processing', 'language processing', 'biomedical research', 'semantic', 'natural language']",123060545,71188.0,0.012741399148497338
 ,176, ,"['language', 'child', 'learning', 'word', 'infant', 'statistical learning', 'statistical', 'acquisition', 'linguistic', 'disorder', 'input', 'development', 'pattern', 'impairment', 'mechanism']",48691538,12730.0,0.13128614999491123
 ,420, ,"['protein', 'structure', 'sequence', 'protein structure', 'function', 'prediction', 'interaction', 'structural', 'binding', 'molecular', 'computational', 'model', 'biological', 'information', 'cell']",128437098,157484.0,0.0879538704332093
 ,320, ,"['image', 'imaging', 'pet', 'image analysis', 'analysis', 'software', 'algorithm', 'ct', 'patient', 'technique', 'medical', 'digital', 'segmentation', 'automated', 'quantitative']",134076090,36798.0,0.026222394917700332
 ,232, ,"['variant', 'genetic', 'variation', 'genome', 'disease', 'genomic', 'gene', 'human', 'genetic variant', 'sequencing', 'genetic variation', 'population', 'rare', 'trait', 'splicing']",108770924,78738.0,0.05382054724343349
 ,351, ,"['neural', 'motor', 'movement', 'control', 'brain', 'signal', 'activity', 'stimulation', 'learning', 'auditory', 'task', 'sensory', 'hand', 'cortex', 'model']",128873167,41289.0,0.0032793699121264233
 ,288, ,"['ad', 'alzheimer', 'disease', 'alzheimer disease', 'dementia', 'cognitive', 'disease ad', 'alzheimer s', 'brain', 's disease', 's', 'biomarkers', 'imaging', 'risk', 'pathology']",238196308,116198.0,0.14705368739110675
 ,80, ,"['seizure', 'epilepsy', 'eeg', 'patient', 'brain', 'activity', 'recording', 'network', 'detection', 'neural', 'stimulation', 'device', 'surgical', 'onset', 'surgery']",36266263,11316.0,0.24490953222832257
 ,268, ,"['tumor', 'cancer', 'imaging', 'treatment', 'patient', 'therapy', 'radiation', 'image', 'tissue', 'planning', 'response', 'cell', 'brain', 'mri', 'tool']",96698997,21122.0,0.056221638761561846
 ,374, ,"['care', 'patient', 'intervention', 'quality', 'outcome', 'training', 'trial', 'dementia', 'health care', 'improve', 'caregiver', 'implementation', 'healthcare', 'support', 'communication']",187879963,58180.0,0.0022223863294974252
 ,154, ,"['pain', 'chronic', 'treatment', 'patient', 'brain', 'opioid', 'care', 'effect', 'mechanism', 'assessment', 'management', 'low', 'condition', 'process', 'intervention']",160864439,19495.0,0.25000705015335833
 ,54, ,"['social medium', 'medium', 'social', 'prevention', 'policy', 'abuse', 'hiv', 'online', 'effect', 'public', 'substance', 'drug', 'behavior', 'youth', 'big data']",16252320,1987.0,0.18036087310667773
 ,122, ,"['social', 'behavior', 'behavioral', 'network', 'model', 'dynamic', 'change', 'neural', 'animal', 'interaction', 'modeling', 'intervention', 'population', 'individual', 'analysis']",48734866,4107.0,0.035305266266081825
 ,227, ,"['visual', 'object', 'vision', 'scene', 'perception', 'neural', 'cortex', 'recognition', 'stimulus', 'image', 'eye', 'representation', 'shape', 'human', 'brain']",77689476,46380.0,0.06611658744610832
 ,111, ,"['surgical', 'surgery', 'patient', 'procedure', 'skill', 'training', 'tissue', 'model', 'treatment', 'technology', 'tumor', 'outcome', 'tool', 'planning', 'trial']",55524833,14392.0,0.06847684046174642
 ,376, ,"['risk', 'suicide', 'factor', 'risk factor', 'environmental', 'patient', 'outcome', 'prediction', 'intervention', 'woman', 'disease', 'model', 'social', 'cvd', 'death']",166562342,129310.0,0.009807830444632938
 ,74, ,"['mutation', 'protein', 'genome', 'human', 'gene', 'genetic', 'disease', 'cancer', 'molecular', 'region', 'evolution', 'variant', 'function', 'functional', 'computational']",21355250,29495.0,0.18401033006150544
 ,261, ,"['genetic', 'gwas', 'gene', 'association', 'risk', 'variant', 'disease', 'disorder', 'association study', 'genetics', 'trait', 'phenotype', 'analysis', 'locus', 'susceptibility']",139913044,114358.0,0.020420064554426604
 ,107, ,"['cad', 'detection', 'radiologist', 'lesion', 'image', 'cancer', 'mass', 'diagnosis', 'coronary', 'performance', 'technique', 'nodule', 'screening', 'ct', 'colorectal']",41762518,12650.0,0.10777557756929963
