Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Years of Availability,Citations per thousand dollars of funding per year,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Description,Category,Clinical/Technical,Centroids,%R01,%U01,%R44,%U24,%R21,%U54
0,5,1184357,0.0,nan,nan,nan,nan,0,0.0,0,nan,29796.63075360335,1227069,-0.026903317344385985,-0.1600770244448926,0.10627038975612065,0.8747168213061294, , , ,"['shear', 'shear stress', 'stress', 'fluid shear', 'fluid', 'vascular', 'endothelial', 'vitro', 'controlled', 'condition', 'flow', 'functional', 'matrix', 'measured', 'defined']",0.0,0.0,0.6,0.0,0.0,0.0
1,5,624037,0.0,nan,nan,nan,nan,0,0.0,0,nan,15576.441077414329,19377953,-0.028737045863124023,-0.13988824897582697,0.08241415724957893,1.0, , , ,"['stroke', 'vessel', 'blood', 'center', 'decision making', 'aphasia', 'endothelial', 'vascular', 'electron microscopy', 'fluid', 'underlying', 'assessing', 'cognitive', 'classification', 'correlate']",0.2,0.0,0.2,0.0,0.0,0.0
2,5,1042046,0.0,nan,nan,nan,nan,0,0.0,0,nan,26492.432377562236,0,-0.024317126716782676,-0.1236466675440345,0.07501241411046913,1.0, , , ,"['computer resource', 'molecular biology', 'biology', 'national', 'genetics', 'gene', 'evolution', 'sequence', 'rna', 'regulation', 'scientist', 'developmental', 'dna', 'unknown', 'coupled']",0.4,0.0,0.2,0.0,0.0,0.0
3,5,1165471,0.0,nan,nan,nan,nan,0,0.0,0,nan,29743.821808539815,0,-0.023362994087972974,-0.12254994286268941,0.07582395468674347,0.7922482713018472, , , ,"['tactile', 'tactile pattern', 'perception', 'experience', 'array', 'role', 'examined', 'site', 'proposed research', 'nature', 'communication', 'visual', 'location', 'identify', 'stimulus']",0.2,0.2,0.4,0.0,0.0,0.0
4,5,649048,0.0,nan,nan,nan,nan,0,0.0,0,nan,16465.749597185437,0,-0.024603640377743697,-0.13384507392148298,0.08463779316599558,1.0, , , ,"['microbeam', 'laser', 'instrumentation', 'developmental', 'facility', 'grant', 'researcher', 'clinician', 'national', 'biology', 'training', 'science', 'community', 'basic', 'evolution']",0.0,0.0,0.2,0.0,0.0,0.0
5,5,929819,0.0,nan,nan,nan,nan,0,0.0,0,nan,23350.16233734905,1663012,-0.027422293400895487,-0.17181448235042368,0.1169698955486327,0.6545052876741522, , , ,"['artery', 'coronary', 'coronary artery', 'angiography', 'digital', 'contrast', 'motion', 'new technique', 'improvement', 'search', 'procedure', 'lesion', 'dimension', 'image processing', 'chest']",0.4,0.0,0.0,0.0,0.0,0.0
6,5,1021633,0.0,nan,nan,nan,nan,0,0.0,0,nan,26401.254386336506,4531108,-0.020204222498670352,-0.13597269592603906,0.09556425092869834,0.6548472780812891, , , ,"['language', 'child', 'acquisition', 'learning', 'construction', 'constraint', 'feedback', 'input', 'kind', 'role', 'movement', 'speech', 'examined', 'error', 'assessing']",0.4,0.0,0.2,0.0,0.0,0.0
7,4,775055,0.0,nan,nan,nan,nan,0,0.0,0,nan,19382.030697796883,0,-0.028379431823001317,-0.14029802885690784,0.0835391652109052,0.7045147955535717, , , ,"['biomedical', 'university', 'national', 'activity', 'eye', 'consultation', 'computer science', 'advanced', 'formation', 'instrument', 'pathology', 'working', 'practice', 'refinement', 'mathematical']",0.5,0.0,0.25,0.0,0.0,0.0
8,5,950165,0.0,nan,nan,nan,nan,0,0.0,0,nan,23785.610200829677,0,-0.02814883818677617,-0.1656804136740788,0.10938273730052646,0.476787684031797, , , ,"['surface', 'mass', 'mass spectrometry', 'spectrometry', 'receptor', 'sample', 'biomedical', 'site', 'plasma', 'analytical', 'preparation', 'specific aim', 'ion', 'sensitivity', 'response']",0.4,0.0,0.2,0.0,0.0,0.0
9,5,1351758,0.0,nan,nan,nan,nan,0,0.0,0,nan,34808.83142462202,0,-0.02106922585500843,-0.13975640920103236,0.09761795749101551,0.8200509259713276, , , ,"['physician', 'reasoning', 'stroke', 'sophisticated', 'proposed research', 'capable', 'clinician', 'utilizing', 'localization', 'education', 'record', 'represent', 'variable', 'address', 'theoretical']",0.6,0.0,0.0,0.0,0.0,0.0
10,5,763654,0.0,nan,nan,nan,nan,0,0.0,0,nan,19151.45689440696,0,-0.027609487915526608,-0.15315429100521782,0.0979353151741646,1.0, , , ,"['consultant', 'workstation', 'medical knowledge', 'improvement', 'refinement', 'extensive', 'knowledge representation', 'principal', 'production', 'proposed project', 'grant', 'derived', 'associated', 'digital', 'computer program']",0.6,0.0,0.0,0.0,0.0,0.0
11,6,724032,0.0,nan,nan,nan,nan,0,0.0,0,nan,18353.603830620592,0,-0.02510889652313787,-0.17574839766782838,0.12553060462155266,0.8448788915469958, , , ,"['caduceus', 'intend', 'procedure', 'mode', 'provides', 'clinical decision', 'permit', 'refine', 'protocol', 'value', 'period', 'distribution', 'accuracy', 'specifically', 'following']",0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0
