Cluster,Size,Total,Citations,Papers,Citations per $1mil funding,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,Bounds,Bounds,Score,Centroids
0,191,59255253,17765.0,699,299.8046434803004,2928547.474428952,2321239,0.003404284220927452,-0.029045104801952458,0.03585367324380736,0.03356536428012344,"['women', 'pregnancy', 'risk', 'intervention', 'maternal', 'depression', 'mammography', 'screening', 'stress', 'factors']"
1,181,81195691,64724.0,1817,797.1358972731693,17416133.90495816,11568273,0.18604433371466472,0.1415332163959485,0.23055545103338093,0.0269021296726686,"['brain', 'imaging', 'big data', 'schizophrenia', 'big', 'mri', 'activity', 'dr', 'science', 'neuroscience']"
2,103,35833718,9762.0,257,272.4249825262341,3145385.5153327174,3947572,0.061568069536022105,0.014454177557424869,0.10868196151461934,0.21239507326524068,"['prostate', 'prostate cancer', 'cancer', 'men', 'mri', 'biopsy', 'risk', 'imaging', 'mr', 'tumor']"
3,177,90199905,39118.0,549,433.6811662939113,47351327.23945222,19918874,0.5015370472102865,0.41000263030222295,0.59307146411835,0.011214058474916739,"['blood', 'disease', 'immune', 'patients', 'aim', 'biomarkers', 'phase', 'cell', 'assay', 'infection']"
4,227,88792679,52447.0,1301,590.668066226496,27903750.53955658,15530829,0.29657178539664747,0.24628574833868944,0.3468578224546055,0.020027704586836892,"['imaging', 'image', 'mri', 'motion', 'images', 'mr', 'resolution', 'tissue', 'pet', 'medical']"
5,478,183704938,71822.0,2702,390.9639053905018,81491896.27918991,35944281,0.42924069437331336,0.3449767925499037,0.5135045961967231,0.019581652708271453,"['care', 'patients', 'patient', 'ehr', 'risk', 'electronic', 'medical', 'outcomes', 'sepsis', 'support']"
6,135,52448652,8702.0,381,165.91465496577493,15890601.079288084,5284552,0.27821868744745987,0.2179985070769782,0.3384388678179415,0.251600732343741,"['hiv', 'infection', 'testing', 'risk', 'men', 'social', 'care', 'drug', 'behaviors', 'prevention']"
7,222,190337380,72985.0,1855,383.45069160876335,94127869.61253823,32131633,0.37675313604673233,0.3089270945775954,0.4445791775158693,0.17906225476178744,"['ad', 'alzheimer', 'alzheimer disease', 'disease', 'dementia', 'cognitive', 'brain', 'biomarkers', 'imaging', 'risk']"
8,158,55507640,49246.0,905,887.1931863793885,15550000.423294732,7331391,0.2806230953717124,0.2030773982731411,0.35816879247028377,0.09291552041793714,"['protein', 'proteins', 'structure', 'binding', 'interactions', 'drug', 'molecular', 'structural', 'function', 'computational']"
9,87,29278110,4190.0,222,143.11033055070837,7498062.009262302,3609282,0.2299051179449473,0.1992388067906408,0.2605714290992538,0.17846146083577605,"['speech', 'language', 'communication', 'disorders', 'motor', 'impairment', 'patterns', 'children', 'disorder', 'individuals']"
10,88,33865254,7001.0,215,206.73106423474633,3274671.5083673405,716226,0.07056143336916676,0.038403782023715506,0.10271908471461802,0.2618830421218113,"['crc', 'screening', 'colorectal', 'cancer', 'colorectal cancer', 'intervention', 'risk', 'genetic', 'adherence', 'genomic']"
11,726,274021584,122918.0,4819,448.5705038476093,134350630.74211428,53300809,0.46364920230357104,0.391149028656705,0.5361493759504371,-0.017836352386621474,"['patients', 'disease', 'learning', 'risk', 'automated', 'models', 'analysis', 'methods', 'machine', 'software']"
12,110,39656838,7277.0,290,183.49924923414216,15520093.457112323,5975274,0.38123173007283734,0.30099898121478275,0.46146447893089193,0.12108629693422707,"['lung', 'lung cancer', 'cancer', 'nodules', 'ct', 'pulmonary', 'screening', 'patients', 'disease', 'cancer screening']"
13,104,32067033,8053.0,308,251.13018719256002,3911497.911847084,2426226,0.102124976969545,0.04175161853947681,0.1624983353996132,0.19341027976200545,"['alcohol', 'fasd', 'prenatal', 'exposure', 'fetal', 'brain', 'consortium', 'spectrum', 'children', 'projects']"
14,207,62416493,21044.0,751,337.1544761414263,5959953.327755798,4428472,0.0726664639907401,0.050175919447807124,0.09515700853367308,0.14441239091077607,"['breast', 'breast cancer', 'cancer', 'women', 'risk', 'mammography', 'cancer risk', 'screening', 'imaging', 'tumor']"
15,270,128411407,65327.0,1384,508.7320630323753,35930752.607359834,13008488,0.2533482893307689,0.2198979003538794,0.28679867830765843,0.03160336501173938,"['drug', 'pain', 'compounds', 'drugs', 'drug discovery', 'discovery', 'effects', 'models', 'throughput', 'adverse']"
16,446,239423963,189242.0,2751,790.40542821522,28632384.93262929,16457216,0.09481080133831306,0.06004904437747742,0.1295725582991487,0.03181056539850705,"['genetic', 'genes', 'gene', 'genome', 'variants', 'disease', 'expression', 'aim', 'risk', 'gwas']"
17,144,61920772,16739.0,426,270.32931695360645,20193469.7986053,10878340,0.29455987797441696,0.26084448358470863,0.3282752723641253,0.03937333831062284,"['children', 'child', 'autism', 'early', 'infants', 'risk', 'care', 'childhood', 'malaria', 'pediatric']"
18,49,17879315,19276.0,423,1078.117366353241,6839127.307708455,2033681,0.5132497184617999,0.26325681756482655,0.7632426193587732,0.30865690062897383,"['glaucoma', 'visual', 'progression', 'structural', 'optical', 'field', 'detection', 'damage', 'imaging', 'change']"
19,53,22005946,2482.0,122,112.78769837933802,1175150.1866148983,256469,0.010592366581662927,-0.0261319946116323,0.04731672777495815,0.3992659477627326,"['asthma', 'children', 'pediatric', 'care', 'disparities', 'exposure', 'projects', 'expression', 'gene expression', 'chronic']"
20,246,110810544,162051.0,2456,1462.4149846245678,45160257.467723556,9379603,0.41006737202180515,0.31470067016918507,0.5054340738744252,0.028546606705015947,"['cancer', 'colorectal', 'screening', 'colorectal cancer', 'risk', 'patients', 'treatment', 'cancer screening', 'tumor', 'cancers']"
21,72,21994247,11735.0,242,533.5486138716184,2489573.9489613324,2560662,0.08702545064740896,0.03569383206946024,0.13835706922535768,0.19113523755268155,"['ms', 'mass', 'serum', 'disease', 'biomarkers', 'protein', 'hcc', 'patients', 'identify', 'multiple']"
22,185,81860559,15946.0,486,194.79466295850727,19525510.593785796,8524024,0.21131742459796932,0.18197825078011332,0.24065659841582532,0.04463706887292504,"['tumor', 'cell', 'cancer', 'tumors', 'cells', 'tissue', 'single', 'imaging', 'image', 'therapy']"
23,348,137085350,28781.0,1228,209.949494967916,52398587.606605425,29746747,0.3265065889566722,0.3076474729654558,0.34536570494788854,0.00592150847151221,"['brain', 'neural', 'cognitive', 'symptoms', 'disorder', 'disorders', 'psychosis', 'behavioral', 'depression', 'functional']"
