text,title,id,project_number,terms,administration,mechanism,year,funding,score
"DEVELOPMENT OF ARTIFICIAL HEARING FOR THE DEAF The effort to develop artificial hearing systems for the deaf has recently been focussed on tactual vocoders, devices that transduce acoustic energy into vibratory or electrocutaneous signals which are then applied to the skin.  Current tactual vocoders, however, are based largely upon untested assumptions about optimal filter configurations for speech processing.  In a study which carefully controls device variables (through use of software filters and computer driven displays) while systematically varying filter configurations, perception of critical features of the speech code will be studied.  Using psychophysical techniques, the research seeks to describe the tactual perception of speech features based on signals processed through filter banks with linear, logarithmic and composite spacings for both 32 and 16 channel displays.  The studies will:  1. determine discrimination and identification of speech contrasts along various speech-simulating continua for each of the filter configurations;  2. provide an empirical basis for the design of tactual vocoders with optimal filter configurations; and  3. lay the foundations for a miniaturized tactual vocoder design to be implemented in succeeding phases of the work.  This work is directed toward the development and ultimate manufacture of a portable, wearable, cosmetically acceptable, artificial hearing prosthesis for the deaf.  ",DEVELOPMENT OF ARTIFICIAL HEARING FOR THE DEAF,3503959,R43NS021390,"['somesthesis ', ' form /pattern perception ', ' electrotactile communication ', ' speech ', ' voice ', ' human subject ', ' electrostimulus ', ' electrodes ', ' deafness ', ' deaf aid ', ' auditory discrimination ', ' computer data analysis ', ' artificial intelligence ', ' ']",NINDS,R43,1985,50000,-0.034257598560530886
"AUTO SCREENER FOR EPILEPTOFORM EEG DATA A two phase program is described to develop a microprocessor unit to screen 16 channel EEG data in real time and mark those epochs which contain epileptoform activity.  The unit would be marketed as a modular addition to data collection systems already marketed by Telefactor for long-term epilepsy monitoring.  Realization of such a unit involves adapting principles already proven and running on computers in a university environment such as the PDP 11/60.  Modern micorprocessor techniques can now permit recognition modules to price in the $10,000 range.  ",AUTO SCREENER FOR EPILEPTOFORM EEG DATA,3509087,R44NS020408,"['neuromuscular disorder diagnosis ', ' human subject ', ' computer data analysis ', ' online computer ', ' computer system design /evaluation ', ' artificial intelligence ', ' electroencephalography ', ' epilepsy ', ' patient monitoring device ', ' magnetic recording system ', ' clinical biomedical equipment ', ' ']",NINDS,R44,1985,277622,-0.0563632592227181
"PHASE II RESEARCH ON SOUND-MAKING PRODUCTS FOR INFANTS The visual ""mobiles"" attached to infant cribs are devices designed to provide the infant with visual stimulation.  There are no devices currently on the market that provide infants with complex and interesting auditory stimulation.  Yet, studies by this research team show that very young infants have a keen sense of hearing and are capable of discriminating fine differences in complex sounds such as speech.  More importantly, our work suggests that infants like listening to speech, particularly when it conforms to the kind of speech that is addressed to them by caretakers. The particular kind of speech has many special properties, and has been given the name ""Motherese.""  Our laboratory research indicates that infants prefer to listen to Motherese over the kind of speech that is addressed to adults.  Moreover, the work shows that the main feature attracting infant attention towards Motherese is its unique acoustic characteristics, indluding an increase in pitch, exaggerated pitch contours, and a slower tempo.  This Phase-I research project proposes to examine the feasibility of creating an ""Auditory Mobile"" for infants--a device that presents Motherese and other complex signals that mimic its salient acoustic characteristics to infants.  The special features of this device include the fact that it is programmable and activated by the infant's vocalizations.  The proposal requests support for research that would further specify the parameters of auditory signals that should be contained in an Auditory Mobile and begin work on the technical problems of speech synthesis and recognition required by the device.  ",PHASE II RESEARCH ON SOUND-MAKING PRODUCTS FOR INFANTS,3508087,R44HD018561,"['sensory signal detection ', ' psychophysiology ', ' sound frequency ', ' vocalization ', ' speech synthesizers ', ' mother child interaction ', ' auditory fatigue ', ' auditory discrimination ', ' auditory stimulus ', ' artificial intelligence ', ' infant human (0-1 year) ', ' child psychology ', ' ']",NICHD,R44,1985,218191,-0.012164291406674342
"FISH VENTILATORY BEHAVIOR AS A TOXIC'S MONITORING TOOL The long term objective is to develop a fish monitoring tool capable of rapidly screening chemicals for toxicity, protecting public drinking water supplies and wastewater receiving systems, and identifying the causative toxic agent(s).  Non-invasive electrode techniques receive signals from fish generated bioelectric fields.  Electronic components filter the signals generated from independently monitored fish such that the ventilatory components may be amplified and interfaced to a microcomputer. This and other laboratories have demonstrated that, upon exposure to acutely toxic chemical concentrations, several changes occur in the ventilatory components of fish, such as, frequency, amplitude, and gill purge or cough, including three major and eleven subcategories of the types of gill purge.  It is anticipated that the Phase I research will demonstrate that, upon exposure to chronically toxic chemical concentrations, the combinations of ventilatory components occurring will be unique to a given category of the chemical (e.g., concepts of structural activity relationships, heavy metal vs. pesticide, etc.).  Many chemicals that are toxic to humans and other mammilian systems are toxic to aquatic organisms.  If the long term objective is successful, this inexpensive monitoring tool would have commercal applications for the chemical manufacturing, drinking water and wastewater treatment industries, municipalities, and regulatory agencies, as well as the academic research community.  ",FISH VENTILATORY BEHAVIOR AS A TOXIC'S MONITORING TOOL,3496463,R43ES003808,"['water supply ', ' water sampling /testing ', ' water pollution control ', ' water pollution ', ' fresh water environment ', ' aquatic biology ', ' toxicant screening ', ' environmental toxicology ', ' gills ', ' pesticide biological effect ', ' cinematography ', ' metal poisoning ', ' zinc ', ' trichloroethylene ', ' chlorohydrocarbon ', ' environmental contamination ', ' computer graphics /printing ', ' artificial intelligence ', ' chemical structure function ', ' monitoring device ', ' bioassay ', ' ']",NIEHS,R43,1985,50000,-0.05049852974884793
"STEPPED-CARE COLLEAGUE:  AUTOMATED THERAPY REVIEW IN HYP Clinical decision support systems and medical information systems are both of great interest in medical informatics.  Ideally these two types of systems should be closely linked to provide maximum educational and clinical utility.  Usually medical informatics development emphasizes one type of system to the exclusion of the other.  The primary objective of this proposal is to develop a generic, linked system in which medical knowledge represented in the decision support module is applied in the clinical setting in the context of an existing information system.  The major advantages are practical:  the data required by the decision support system is already available; no special data collection or entry is needed.  The advice given by the decision support system is presented in clinical ""real-time"" to optimize its effect.  The second objective is to maximally exploit non-artificial intelligence in medicine (AIM) systems for representing medical knowledge and decision making processes when appropriate.  This is cost effective and, if sufficiently robust, may be adequate for many types of medical decision problems.  In this proposal we plan to develop general methods and apply them to a single clinical setting:  hypertension care.  The specific work will test the hypothesis that an automated therapeutic management review system may be created, using a non-AIM rule-based structure coupled with a system designed to frequently gather pertinent clinical information, to provide sophisticated analysis of current medical management for providers.  The system will survey current clinical data and, following a stepped care approach to the treatment of hypertension, advise providers as to when they should increase therapy, modify therapy, or reduce therapy in appropriate circumstances.  The prototype system will be studied in a general medicine practice. Testing will involve the examination of its performance in terms of reliability and validity, its psychological impact on providers and their perception of benefit and satisfaction, and its cost and impact on stepped care therapy.  If this development and feasibility project is successful, we will consider submitting a proposal to subject the developed system to more definitive study.  ",STEPPED-CARE COLLEAGUE:  AUTOMATED THERAPY REVIEW IN HYP,3449510,R23LM004440,"['information systems ', ' information system analysis ', ' automated data processing ', ' patient care management ', ' computer system design /evaluation ', ' hypertension ', ' computer assisted patient care ', ' computer assisted medical decision making ', ' ']",NLM,R23,1985,52173,-0.04577133275225177
"ARRAY PROCESSOR FOR MEDICAL IMAGE PROCESSING A powerful array processor to be attached to our existing VAX 11/780 computer is requested.  This instrument will be dedicated to research in medical imaging and image processing.  Specifically, four projects are proposed, two each in digital radiology and nuclear medicine.  In digital radiology, the goal of the proposed research is to deblur subtraction angiograms by using sophisticated image processing algorithms, thereby facilitating the visualization of atherosclerotic lesions in the coronary arteries.  Two distinct processing algorithms will be investigated.  Both of these algorithms are well known in the image processing leterature, but have not yet been applied to large medical images for lack of sufficient computer power.  The nuclear medicine projects have as their goal earlier detection and more accurate characterization of small neoplasms.  In one of these projects, three-dimensional images will be reconstructed from coded-aperture data.  This approach allows true tomographic reconstruction without any motion of the detector or aperture.  The other nuclear medicine project involves automated feature extraction and pattern recognition of liver scans.  In addition, it will include an attempt to optimize the design of nuclear imaging systems for most accurate extraction of the relevant features.  ",ARRAY PROCESSOR FOR MEDICAL IMAGE PROCESSING,3519184,S10RR002395,"['nuclear medicine ', ' tomography ', ' radiodiagnosis ', ' artificial intelligence ', ' computers ', ' clinical biomedical equipment ', ' ']",NCRR,S10,1985,92500,-0.11649106567273769
"NUCLEIC ACID SEQUENCE ANALYSIS We will use a combination of computer programming and biochemistry to study some interesting questions in molecular biology.  Our nucleic-acid sequence library system will be improved to allow the user the powers of recombinant DNA technology available to the biochemist.  All of our software will be extensively modularized to facilitate program development and transportation, both of which will hasten improvements.  We will continue to expand our collection of programs to analyze sequence-function relationships.  This will include improvements to our program of a pattern recognition algorithm (the ""perceptron"") and adaptations of multiple regression analyses to nucleic-acid sequence problems.  These techniques will be used to make quantitative models for sequence effects on promoter efficiency and mutagenicity.  We will generate a large collection of data for sequence effects on translational initiation efficiency using the technologies of recombinant DNA, chemical DNA sysnthesis and DNA sequencing.  These data, analyzed by our computer programs, will lead to a quantitative understanding of translational initiation.  ",NUCLEIC ACID SEQUENCE ANALYSIS,3276031,R01GM028755,"['handbook ', ' nucleic acid sequence ', ' mathematical model ', ' information systems ', ' mutagens ', ' microorganism genetics ', ' genetic translation ', ' plasmids ', ' genetic registry /resource /referral center ', ' genetic mapping ', ' computer center ', ' artificial intelligence ', ' ribosomes ', ' ']",NIGMS,R01,1985,96375,-0.1072528719726623
"STRUCTURAL DETERMINATION OF INTERPHASE CHROMOSOMES The newly developed instrumentation and software now allows three-dimensional reconstruction, in a generalized fashion, of subcellular structures, at both the light and high voltage electron microscopic levels.  Eighteen nuclei have been reconstructed and interpreted in a quantitative fashion.  Six nuclei have their cytogenetic loci aligned with the three-dimensional structures showing that many chromosome features are three-dimensionally determined.  It is proposed to determine, three-dimensionally, many adjacent polytene nuclei in defined developmental stages and tissues so that it will be possible to see in a quantitative fashion the structural relationships. Many computational approaches are proposed to process the images, to refine the structures, to position the bands, hence genes three-dimensionally, and to determine the fine structure of nuclei.  These studies will also utilize monoclonal antibodies to localize active gene loci and their close associations one with another and the nuclear envelope, and to relate structure to function.  Diploid nuclei will, in addition, be three-dimensionally reconstructed at highest possible light microscope resolution in intact Drosophila embryos. Questions related to differences in the 3D patterns of the interphase chromosomes as a function of development, and the cell cycle will be studied.  The laboratory will continue to reconstruct mitotic chromosomes and interband/bands from polytene chromosomes from Drosophila in a resolution-overlaping fashion made possible by the three-dimensional light microscopy and much higher resolution of the high voltage electron microscope utilizing systematic high tilt about 70 degrees for three-dimensional structure.  New computational approaches to image processing in three dimensions are being continued.  New image collection hardware for the light microscopy and high voltage electron microscopy are proposed.  ",STRUCTURAL DETERMINATION OF INTERPHASE CHROMOSOMES,3272765,R01GM025101,"['tissue /cell culture ', ' freeze etching ', ' radionuclide double label ', ' salivary glands ', ' fluorescence microscopy ', ' scanning electron microscopy ', ' electron microscopy ', ' image enhancement ', ' nucleic acid sequence ', ' endonuclease ', ' immunofluorescence technique ', ' monoclonal antibody ', ' animal population genetics ', ' genetic transcription ', ' genetic regulation ', ' gene expression ', ' cytogenetics ', ' genetic mapping ', ' genetic manipulation ', ' chromosome disorders ', ' nonmammalian vertebrate embryology ', ' fluorescent dye /probe ', ' artificial intelligence ', ' eukaryote ', ' cell differentiation ', ' larva ', ' immature animal ', ' ']",NIGMS,R01,1985,124739,-0.022162556676728846
"ANALYSIS OF PROBLEMS IN OCULAR INFLAMMATORY DISEASE The major goals of this proposal are the prevention of blindness and of morbidity associated with inflammatory eye diseases, particularly trachoma and herpes simplex virus (HSV) infections.  In the studies of trachoma, we will (1) develop improved techniques for treating it, (2) elucidate the role of Chlamydia trachomatis as an agent of systemic illness, particularly childhood pneumonia, in trachoma endemic areas, (3) evaluate new techniques for the rapid, inexpensive diagnosis of chlamydial infections, (4) attempt to further define the immunological response to C. trachomatis infections in trachoma through the use of specific chlamydial antigens.  The hypothesis underlying these studies is that blindness and morbidity associated with endemic trachoma can be prevented, but that will involve new technologies for detection and treatment.  While these studies on ocular chlamydial infection will be directed at practical, applied goals, we also will examine at a basic level the pathogenesis of chronic trachoma.  By defining the antibody response to specific chlamydial antigens and the patterns of cellular response in the eye, we plan to develop a means to identify cases who are at risk of the blinding complications or who will not respond well to chemotherapy.  This knowledge will be needed as a basis for the evaluation of possible subunit trachoma vaccines.  The studies on ocular herpes simplex virus infections will focus on improving the management of this condition by the development of a computer based, artificial intelligence model of HSV eye infections that can be used as an expert consultant for management of herpetic eye disease.  Continued development of this model will elucidate specific problems in the complex management of the disease.  The model will be further extended to include the diagnosis and treatment of bacterial corneal ulcers and other forms of keratitis and uveitis.  ",ANALYSIS OF PROBLEMS IN OCULAR INFLAMMATORY DISEASE,3255348,R01EY000427,"['Alphaherpesvirinae ', ' tissue /cell culture ', ' pneumonia ', ' autoradiography ', ' human morbidity ', ' epidemiology ', ' electrophoresis ', ' disease /disorder model ', ' immunopathology ', ' immune complex ', ' immunoelectrophoresis ', ' enzyme linked immunosorbent assay ', ' disease /disorder prevention /control ', ' Arab country ', ' Africa ', ' eye agent ', ' trachomas ', ' eye infections ', ' eye disorder diagnosis ', ' blindness ', ' keratitis ', ' eye disorder ', ' prognosis ', ' antiinflammatory agents ', ' chronic disease /disorder ', ' disease /disorder proneness /risk ', ' diagnosis quality /standard ', ' artificial intelligence ', ' microorganism disease chemotherapy ', ' antiviral agents ', ' Chlamydia trachomatis ', ' pediatrics ', ' ']",NEI,R01,1985,171835,0.0005581641912108818
"NUCLEAR DNA AND MORPHOMETRIC STUDIES OF GYNECOLOGIC CANC The goals of this project are to improve our understanding of carcinogenesis in gynecologic cancers and to enhance diagnostic and prognostic accuracies using quantitative analyses.  During the past year, a close relationship between human papillomavirus infection (genital warts, condylomas) and cervical intraepithelial neoplasias (squamous dysplasias and carcinomas in situ) has been confirmed by nuclear DNA quantitation, immunoperoxidase stain for human papillomavirus capsid antigens, and morphologic analyses.  Using these techniques, it is possible to demonstrate a transition from cervical condyloma to neoplasia.  This occurrence is supported by the coexistence of papillomavirus capsid antigens and aneuploid DNA patterns in 14% of cervical condylomatous lesions.  The risk of developing cervical intraepithelial neoplasia is increased in flat rather than exophytic condylomas, and in condylomas with moderate as compared to mild degree of nuclear atypia.  These findings support the recent molecular hybridization studies indicating that several types of human papillomaviruses with different oncogenicities exist in the female genital tract.  In 51 patients with clinical stage I or II cervical adenocarcinoma, the survival is most reliably predicted by the standard deviation of nuclear size (p=0.002), the DNA ploidy level (p=0.003), the clinical stage (p=0.0072), the percentage of glandular lumen (p=0.0074), the mean nuclear size (p=0.04), and the histologic grade (p=0.09).  These findings demonstrate that the prognostic accuracies can be improved by quantitative analyses over the routine histologic examinations.  (3)   ",NUCLEAR DNA AND MORPHOMETRIC STUDIES OF GYNECOLOGIC CANC,3172687,R01CA034870,"['Papillomavirus ', ' transforming virus ', ' longitudinal human study ', ' DNA ', ' neoplastic transformation ', ' neoplasm /cancer therapy ', ' metastasis ', ' neoplasm /cancer invasiveness ', ' neoplasm /cancer remission /regression ', ' vulva neoplasms ', ' cervix neoplasms ', ' uterus neoplasms ', ' female reproductive system neoplasm ', ' neoplasm /cancer genetics ', ' neoplasm /cancer diagnosis ', ' neoplasm /cancer classification /staging ', ' mathematical model ', ' human tissue ', ' histopathology ', ' hyperplasia ', ' cytogenetics ', ' genetic markers ', ' biopsy ', ' artificial intelligence ', ' microspectrophotometry ', ' ']",NCI,R01,1985,95252,0.014916911074946575
