Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Centroids
0,179,76307619,7470.0,0.07209302325581396,0.34220930232558133,0.31412276278718293,0.37029584186397974,430,97.8932392059042,25688970.601863604,5844146,0.31531292340417777,0.23803419442495158,0.392591652383404,0.000879304414951704,"['cancer', 'detection', 'lesions', 'early', 'imaging', 'diagnostic', 'images', 'software', 'early detection', 'diagnosis']"
1,211,182157661,78429.0,0.19315673289183222,0.4725717439293598,0.45680979564993784,0.48833369220878176,1812,430.55559436503745,91900133.22138189,32131633,0.38401243392397666,0.3170963178567509,0.4509285499912024,0.18343726045296554,"['ad', 'alzheimer', 'alzheimer disease', 'disease', 'cognitive', 'dementia', 'brain', 'biomarkers', 'imaging', 'risk']"
2,289,90798613,20532.0,0.10693301997649823,0.41504112808460636,0.39321564055922353,0.4368666156099892,851,226.12680217923594,28844049.146370705,16413501,0.2804489064040571,0.24448567404207822,0.316412138766036,0.007602865784227015,"['brain', 'neural', 'cognitive', 'disorders', 'disorder', 'fmri', 'trauma', 'attention', 'learning', 'behavioral']"
3,197,80223272,182988.0,0.09214567792891619,0.3928038613426941,0.38007706903454397,0.4055306536508443,2279,2280.9840017495176,31336592.813440148,4622799,0.5181469876441653,0.2996825725582043,0.7366114027301264,0.022280703019696455,"['cancer', 'women', 'screening', 'colorectal', 'cancer screening', 'risk', 'colorectal cancer', 'mammography', 'intervention', 'prevention']"
4,339,172264448,135968.0,0.1630170316301703,0.4452033368091762,0.4329391525098948,0.45746752110845756,2877,789.2980912695346,57087867.67256948,20150567,0.3225497919926139,0.2416983730964617,0.4034012108887661,-0.006424285565197365,"['brain', 'cell', 'imaging', 'activity', 'human', 'analysis', 'mri', 'function', 'new', 'software']"
5,86,33448959,7289.0,0.17452830188679244,0.514622641509434,0.47143439791509495,0.5578108851037732,212,217.91410608623127,3233301.1557070273,716226,0.07058912973309639,0.03816191711129342,0.10301634235489936,0.2610668381915819,"['crc', 'screening', 'colorectal', 'cancer', 'colorectal cancer', 'intervention', 'genetic', 'risk', 'adherence', 'genomic']"
6,150,67220633,16517.0,0.16449086161879894,0.5035248041775456,0.4717811638807508,0.5352684444743404,383,245.71324700259817,22234779.607819714,10986503,0.29555695831417744,0.26320076547724425,0.32791315115111064,0.039508416743545036,"['children', 'child', 'autism', 'language', 'early', 'pediatric', 'risk', 'disorders', 'care', 'age']"
7,275,149691971,103798.0,0.16942384483742157,0.4844552196235026,0.46908514197552564,0.4998252972714795,1753,693.4106038325864,17099259.174703214,7836337,0.0882735995410685,0.048413851470747074,0.12813334761138995,0.04209137903905963,"['genetic', 'variants', 'genes', 'genome', 'gene', 'genomic', 'gwas', 'risk', 'disease', 'aim']"
8,182,80711257,15928.0,0.08447937131630648,0.3653241650294695,0.33776975964708256,0.3928785704118565,509,197.3454582673641,20472526.83008198,8747763,0.21981970640207396,0.18508600062962252,0.2545534121745254,0.05624795157205188,"['tumor', 'cancer', 'tumors', 'cell', 'imaging', 'cells', 'tissue', 'treatment', 'image', 'therapy']"
9,116,69440703,20408.0,0.22424242424242424,0.5213636363636364,0.4844448900367028,0.55828238269057,330,293.8910339084557,23663783.41361214,6744423,0.28154648748876276,0.2303683237075778,0.33272465126994777,0.15631471545129436,"['asd', 'autism', 'adhd', 'children', 'behavioral', 'brain', 'infants', 'connectivity', 'disorder', 'early']"
